"PSA.42.1", "Dɛ mbrɛ ɔtwe haahaw hwehwɛ nwora nsu no, Mbrɛ me kra haahaw hwehwɛ ɔwo nye no, ao, me Nyankopɔn.", ""
"PSA.42.2", "Nyankopɔn, nkwa Nyankopɔn no, ho nsukɔm dze me kra: Dabɛn na mebɛba ebopue Nyankopɔn enyim?", ""
"PSA.42.3", "Me nyinsuwa ayɛ m'edziban adzekyee na adzesaa, Mber a wɔsee me daa nyina dɛ, Wo Nyankopɔn wɔ hen no?", ""
"PSA.42.4", "Iyinom na sɛ mekaa a, nna me kra ridzi awerɛhow no, Mbrɛ misii enye nyimpa petsee no nantsewee na midzii hɔn enyim kɔr Nyankopɔn fie; Yɛdze enyigye na ayɛyindwom ndze, dɛ nyimpa dodow a wɔrehyɛ fa.", ""
"PSA.42.5", "Ao me kra, ɔyɛ dɛn ntsi na abotow? Na ɔyɛ dɛn ntsi na iridzi mo mu awerɛhow yi? Ma w'enyi nda Nyankopɔn do: na mebɛda ho eyi no ayɛw, Dɛ ɔyɛ m'enyim boafo, na me Nyankopɔn.", ""
"PSA.42.6", "Me Nyankopɔn, me kra abotow wɔ mo mu: Dɛm ntsi na mifi Jordan asaase do, Na Hermon mbepɔw do, na Mizar koko do mekaa wo.", ""
"PSA.42.7", "Bun frɛ bun wɔ w'awor ne gyegye ntsi: W'asorɛkye na w'eminiminim nyinara afa mo do.", ""
"PSA.42.8", "Naaso EWURADZE beyi n'adɔyɛ edzi wɔ adzekyeeber, Na anadwe matow no ndwom, Mekyerɛ mpaa a mibeyi ama mo nkwagye Nyankopɔn no a.", ""
"PSA.42.9", "Mebɛse Nyankopɔn, mo botan no dɛ, Ɔyɛ dɛn ntsi na wo werɛ efir me yi? Ɔyɛ dɛn ntsi na menam ridzi awerɛhow wɔ ɔtamfo no ne nhyɛdo ntsi yi?", ""
"PSA.42.10", "Atseetsee a m'atamfo dze hyɛ me ntsi, ɔyɛ me dɛ me mbiew rodwerew; Mber a daa wɔse me dɛ, Wo Nyankopɔn wɔ hen?", ""
"PSA.42.11", "Me kra, ɔyɛ dɛn ntsi na abotow yi? Na ɔyɛ dɛn ntsi na iridzi mo mu awerɛhow yi? Ma w'enyi nda Nyankopɔn do: na mebɛda ho meyi no ayɛw, Dɛ ɔyɛ m'enyim boafo, na me Nyankopɔn.", ""
