"PSA.59.1", "Ao, me Nyankopɔn, gye me fi m’atamfo nsamu: Fa me sie sor fi hɔn a wɔsoɛr tsia me no nkyɛn.", ""
"PSA.59.2", "Gye me fi emumuyɛfo nsamu, Na gye me nkwa fi bɔgyapɛfo nsamu.", ""
"PSA.59.3", "Na hwɛ, wɔtsɛw me kra; Akatakyi boaboa hɔn ano tsia me: Ao, EWURADZE, nnyɛ me mbrato, eso nnyɛ mo bɔn ntsi a.", ""
"PSA.59.4", "Nnyɛ mo mfom ntsi na wotu mbirika siesie hɔnho: Kenyan wo ho bɔboa me, na hwɛ.", ""
"PSA.59.5", "Mekyerɛ ɔwo, dɔm EWURADZE Nyankopɔn, Israel Nyankopɔn, Soɛr bɔtwe amanaman nyinara aso: Mma nnhu emumuyɛfo mbrato biara mbɔbɔr.", ""
"PSA.59.6", "Wɔsan ba ewimbir, wopuow dɛ mbɔdɔm, Na wokyinkyin kurow no mu.", ""
"PSA.59.7", "Hwɛ, wɔdze hɔn ano wor kasa; Mfona wɔ hɔn anofamfa do: Na hɔn adwen nye dɛ, Woana na ɔtse?", ""
"PSA.59.8", "Na ɔwo, EWURADZE, ebɛserew hɔn; Ɔwo ibesi amanaman nyinara atwetwe.", ""
"PSA.59.9", "Ao m’ahoɔdzen, ɔwo na mobɔhwɛ wo kwan: Na ɔwo Nyankopɔn, eyɛ m’abantsentsen.", ""
"PSA.59.10", "Me Nyankopɔn dze n’adom botwar m’ano: Nyankopɔn bɛma mehu m’apɛdze wɔ m’atsɛweefo ho.", ""
"PSA.59.11", "Mma nnku hɔn, bɛyɛ na me man werɛ efir: Fa wo tum bɔ hɔn petse, na fa hɔn hwe famu, Ao EWURADZE, hɛn kyɛm.", ""
"PSA.59.12", "Hɔn anomu nsɛm yɛ nsɛmbɔn, Na mpaa na akɔhwisɛm a wɔka ntsi, Ma wɔnkyer hɔn wɔ hɔn ntsɛn mu ara.", ""
"PSA.59.13", "Hyew hɔn wɔ ebufuw mu, hyew hɔn, amma wɔaanntsena ase bio, Na ma wonhu dɛ Nyankopɔn na odzi Jakob do hen, Dze kodu asaase ano.", ""
"PSA.59.14", "Ewimbir biara wɔsan ba, wopuow dɛ mbɔdɔm, Na wokyinkyin kurow no mu.", ""
"PSA.59.15", "Wɔbɔ nkwankwan hwehwɛ edziban, Na sɛ wɔammee a, wɔtsena hɔ anafua nyinara.", ""
"PSA.59.16", "Na emi dze mobɔtow w’ahoɔdzen ho ndwom; Nyew, mobɔtow wo mbɔbɔrhu ho ehurusi ndwom anapa: Na ɔwo na ayɛ m’abantsentsen, Na guandɔbew wɔ m’ahokyer da no mu.", ""
"PSA.59.17", "M’ahoɔdzen, ɔwo na mobɔtow ayɛyindwom ama wo: Na Nyankopɔn nye m’abantsentsen, mo mbɔbɔrhu Nyankopɔn.", ""
