"PSA.62.1", "Nyankopɔn ara na me kra ayɛ komm rohwɛ no: No hɔ na mo nkwagye fi ba.", ""
"PSA.62.2", "Ɔno nko nye mo botan na mo nkwagye: Ɔno nye m’abantsentsen, mirinnhim ara da.", ""
"PSA.62.3", "Hom botu ahyɛ ɔbaakofo do ekodu dabɛn, Ma hom nyinara eedwuruw no, Dɛ fasu a ehima, dɛ ban a orugura?", ""
"PSA.62.4", "Dza wotu ho egyina ara nye dɛ wobosun no efi n’abɔsobea ahwe famu; Hɔn enyi gye atorsɛm ho: Wɔdze hɔn ano hyira, na hɔn mu dze wɔdom.", ""
"PSA.62.5", "Me kra, yɛ komm hwɛ Nyankopɔn ara: Na m’enyidado fi no hɔ.", ""
"PSA.62.6", "No nko ara nye mo botan na mo nkwagye: Ɔno nye m’abantsentsen: mirinnhihim.", ""
"PSA.62.7", "Mo nkwagye na m’enyimnyam wɔ Nyankopɔn nsamu; M’ahoɔdzen botan na mo guandɔbew wɔ Nyankopɔn mu.", ""
"PSA.62.8", "Aman, hom ntwer no mber nyinara, Hom nhue hom akoma ngu n’enyim: Nyankopɔn yɛ guandɔbew ma hɛn.", ""
"PSA.62.9", "Ampaara, nyimpa enyimfo yɛ ehubɔw, na nyimpa mbapɔmba yɛ atorfo: Wogu nsɛn mu a wohuan kɔ sor: Wɔyɛ har koraa sen ehubɔw.", ""
"PSA.62.10", "Mma hom nntwer emimdzi, Na mma hom nnyɛ ahopɔw wɔ adzewia ho: Sɛ ahonyadze dɔɔ so a, mma hom mmfa hom akoma nnto do.", ""
"PSA.62.11", "Na Nyankopɔn akasa prɛko; Mpɛn ebien na matse iyi; Dɛ tum yɛ Nyankopɔn dze:", ""
"PSA.62.12", "Eso ɔwo, EWURADZE, na mbɔbɔrhu dzi wɔ wo: Na ɔwo na itua nyimpa biara kaw dɛ mbrɛ n’edwuma tse.", ""
