"PSA.65.1", "Ao Nyankopɔn, ayɛyi yɛ wodze wɔ Zion: Na ɔwo na wɔbɛyɛ anohobadze no ama wo.", ""
"PSA.65.2", "Ɔwo itsie mpaayi, Wo nkyɛn na honam nyinara bɛba.", ""
"PSA.65.3", "Sɛ emumuyɛdze dzi mo do nyim a: Ɔwo na ebɛpepa me mbrato.", ""
"PSA.65.4", "Osiarfo nye nyimpa a ɔwo esan mu yi no, na ema ɔbɛn wo nkyɛn, Ma ɔaatsena w’abanguado: Wo fie ndzepa bɛmee hɛn, W’asɔrfi krɔnkrɔnbea no a.", ""
"PSA.65.5", "Ɔwo nam ndzɛmba a ɔyɛ hu do bobua hɛn wɔ tsenenee mu, Hɛn nkwagye Nyankopɔn; Ɔwo a eyɛ asaase ano nyinara werɛhyɛmu, Na hɔn a wɔwɔ po do ekyirekyir noho.", ""
"PSA.65.6", "Ɔwo a edze w’ahoɔdzen dze mbepɔw etsintsim hɔ; Na edze tum emia:", ""
"PSA.65.7", "Ɔwo a ema po no hurututu, n’asorɛkye n’awor, Na aman hɔn weɔɔweɔɔyɛ taa dzinn.", ""
"PSA.65.8", "Hɔn so a wɔtse ekyirekyir noho no wosuro wo nsɛnkyerɛdze: Ɔwo ma anapa na ewimbir mfirii dzi ehurusi.", ""
"PSA.65.9", "Ɔwo na esera asaase, na igugu do nsu, Ɔwo ema no do adze dɔɔ so; Nyankopɔn n’esutsen no nsu ma tɔ: Sɛ iwie asaase no siesie dɛm a, ɔwoara ema hɔn eburow.", ""
"PSA.65.10", "Ɔwo igugu n’akɔfi do nsu pii; Ɔwo ema n’apɔwapɔw tar: Edze nsutɔree yɛ no bɛtɛɛ; Na ihyira ne fifirii.", ""
"PSA.65.11", "Edze wo ndzepa abɔ afrenhyia no abɔtsir; Na w’atsempɔn do sosɔw seradze.", ""
"PSA.65.12", "Wɔsosɔw sar do edzidzibea do: Na akoko dze enyigye emia.", ""
"PSA.65.13", "Edzidzibea efura mbowakuw; Abɔn no mu so eburow akata do Wodzi ehurusi bɔ ose, wɔtow enyigye ndwom so.", ""
