"PSA.68.1", "Ma Nyankopɔn nsoɛr, ma n'atamfo mpetse; Ma hɔn so a wɔtan no no mfi n'enyim nguan.", ""
"PSA.68.2", "Dɛ mbrɛ mframa bɔ wusiw kɔ no, dɛmara so na bɔ hɔn kɔ: Dɛ mbrɛ ihua nan wɔ gya enyim no, Dɛmara so na ma ɔdzebɔnyɛnyi nsɛɛ wɔ Nyankopɔn enyim.", ""
"PSA.68.3", "Na atseneneefo dze, ma hɔn enyi ngye; ma wondzi ehurusi wɔ Nyankopɔn enyim: Nyew, ma wɔmfa ahosɛpɛw ndzi ehurusi.", ""
"PSA.68.4", "Hom ntow ndwom mma Nyankopɔn, hom ntow ayɛyindwom mma ne dzin: Hom mbɔ ɔtsempɔn kwan mma nyia ɔtse adze do nam sar do no; Ne dzin nye EWURADZE; na hom ndzi n'enyim ehurusi.", ""
"PSA.68.5", "Ngyanka hɔn egya, na ekunafo hɔn sɛndzifo, Nye Nyankopɔn wɔ ne tsenabew krɔnkrɔn no mu.", ""
"PSA.68.6", "Nyankopɔn dze ankonam si ebusua mu: Otu adaduafo dze hɔn ba eyiedzi mu: Na etuatsewfo dze, wɔtsena asaase a woetwee do.", ""
"PSA.68.7", "Nyankopɔn, aber a ɔwo ipuei dzii wo man enyim, Aber a ɔwo ituu ntsen faa sar no do no;", ""
"PSA.68.8", "Asaase wosowee, Ɔsor so sosɔɔw wɔ Nyankopɔn enyim: Sinai noara mpo wosoow wɔ Nyankopɔn, Israel Nyankopɔn no enyim.", ""
"PSA.68.9", "Ɔwo, Nyankopɔn, maa nyankom tɔɔ berdzedzeedze, Ɔwo na ehyɛɛ w'egyapadze dzen, aber a ɔtɔɔ bahaw no.", ""
"PSA.68.10", "Wo mboanofo tsenaa mu: Ɔwo, Nyankopɔn, na isiesiee abɔbɔfo wɔ w'ayamuyie mu.", ""
"PSA.68.11", "EWURADZE kaa asɛm no; Mbaa a wɔdze nsɛmpa no tahye no wɔyɛ dɔm kɛse.", ""
"PSA.68.12", "Dɔm ahemfo guanguan, woguanguan: Na nyia ɔtse fie na ɔkyɛ asadze mu.", ""
"PSA.68.13", "Aber a hom deda nguamban ntamu no, Ɔyɛ dɛ ebubur atsaban a wɔdze dwetɛ egu ho, Na ne ntɛkyerɛ a sika gonn hyerɛn wɔ ho.", ""
"PSA.68.14", "Aber a Otumfo no bɔɔ ahemfo petsee asaase no do no, Ɔyɛɛ dɛ aber a ɔrotɔ esukwankyɛba gu wɔ Zalmon no.", ""
"PSA.68.15", "Nyankopɔn bepɔw nye Basan bepɔw no; Bepɔw sorɔnsorɔm Basan.", ""
"PSA.68.16", "Ɔyɛ dɛn ntsi na hom mbepɔw sorɔnsorɔm hwɛ Bepɔw a Nyankopɔn apɛ dɛ ɔdze yɛ ne tsenabew no enyikankye yi? Ampa, EWURADZE bɛtsena do daa.", ""
"PSA.68.17", "Nyankopɔn ntseaseanam yɛ apeduonu mpempem mpempem mpo: EWURADZE wɔ hɔn mu, dɛ Sinai krɔnkrɔnbea no mu.", ""
"PSA.68.18", "Ɔwo afow sor, afa wo ndɔmmumfo no ndɔmmum; Ɔwo akɛgye ayɛyɛdze wɔ nyimpa mu, Nyew, etuatsewfo so mu, ama EWURADZE Nyankopɔn aatsena hɔn nkyɛn.", ""
"PSA.68.19", "Nhyira nka EWURADZE a ɔsoa hɛn adzesoa ma hɛn daa daa, Mekyerɛ Nyankopɔn no a ɔyɛ hɛn nkwagye no.", ""
"PSA.68.20", "Nyankopɔn yɛ nkwagye Nyankopɔn ma hɛn; Na EWURADZE no, na otum gye fi owu nsamu.", ""
"PSA.68.21", "Na Nyankopɔn bɔbɔ n'atamfo tsir ehwira mu, Nyia ɔda ho nam n'afɔdzi mu ne tsir a woesie no tsimum no a.", ""
"PSA.68.22", "EWURADZE see dɛ, Medze fi Basan bɛba bio, Medze hɔn fi po ebun mu bɛba bio:", ""
"PSA.68.23", "Ama edze w'anan aabɔ bɔgya mu, Ama wo mbɔdɔm tɛkyerɛma eenya ne kyɛpɛn wɔ w'atamfo ho.", ""
