"PSA.71.1", "EWURADZE, wo mu na medze mo werɛ hyɛ: Mma mma m’enyim nngu ase dabiarada.", ""
"PSA.71.2", "Yi me wɔ wo tsenenee mu, na gye me: Brɛ w’aso adze ma me, na gye me nkwa.", ""
"PSA.71.3", "Yɛ dɛ ɔtsenabea botan a modɔ hɔ daa ma me: Ɔwo ahyɛ dɛ wɔngye me nkwa; Na ɔwo nye mo botan na m’akoban.", ""
"PSA.71.4", "Ao, me Nyankopɔn, gye me fi ɔdzebɔnyɛfo no nsamu, Gye me fi omumuyɛfo na otsiɔdzenfo nsamu.", ""
"PSA.71.5", "Na ɔwoara, Ao EWURADZE, Nyankopɔn nye m’enyidado: Nyia mifi mbofrase dze mo werɛ too no do.", ""
"PSA.71.6", "Ɔwo na mifi yafun mu medze moho tweer wo: Ɔwo nye nyia oyii me fii me na yamu: Ɔwo na mibeyi wo ayɛw daa.", ""
"PSA.71.7", "Mayɛ dɛ anwanwadze ama dodowara; Na ɔwo nye mo guandɔbea dzendzen.", ""
"PSA.71.8", "W’ayɛyi bɛhyɛ m’anomu ma, Na ɔnye w’enyidzii adzekyee nyinara.", ""
"PSA.71.9", "Mma nntow me nnkyen wɔ nkɔdaaber mu, Sɛ m’ahoɔdzen sa a, mma mmpa me.", ""
"PSA.71.10", "Na m’atamfo ka mo ho asɛm, Na hɔn a wɔtsɛw me kra no bɔ mu tu egyina,", ""
"PSA.71.11", "Dɛ, Nyankopɔn apa no ntsi, Hom ntsiw no nkyer no; na obi nnyi hɔ a ɔbɛgye no.", ""
"PSA.71.12", "Nyankopɔn, mma nnye me ntamu nntwe: Me Nyankopɔn, yɛ ntsɛm bɔboa me.", ""
"PSA.71.13", "Ma hɔn a wɔyɛ m’atamfo no enyi nnto na wɔnnsɛɛ; Ma enyimguase na fɛr nkata hɔn a wɔpɛ me bɔn no do.", ""
"PSA.71.14", "Na emi dze, mibenya enyidado daa, Na mada ho eyi wo ayɛw mbordo mbordo.", ""
"PSA.71.15", "M’ano bɛka wo tsenenee, Na wo nkwagye adzekyee nyinara; Na minnyim no dodow.", ""
"PSA.71.16", "Medze EWURADZE Nyankopɔn n’akatakyidze bɛba: Mobɔbɔ wo tsenenee dzin, mekyerɛ, wo nko wodze no a.", ""
"PSA.71.17", "Ao, Nyankopɔn, ɔwo na ifi me mbofrase akyerɛkyerɛ me; Na maka w’anwanwa dwuma akyerɛ dze ebodu sesei.", ""
"PSA.71.18", "Nyew, mo nkɔdaaber na gon mu mpo, Ao, Nyankopɔn, mma mmpa me; Ma onkodu dɛ maka w’ahoɔdzen ho asɛm akyerɛ nkyirmba, Wo tum akyerɛ hɔn a wɔreba nyina.", ""
"PSA.71.19", "Nyankopɔn, wo tsenenee so wɔ sorsorsor; Ɔwo a ayɛ adze akɛse, Nyankopɔn, woana na ɔtse dɛ ɔwo?", ""
"PSA.71.20", "Ɔwo a akyerɛ hɛn ɔfona yaayaw pii no, Ebɛma yeenya nkwa bio, Na edze hɛn efi asaase tsirmu aba sor bio.", ""
"PSA.71.21", "Ɔwo bɛma m’akɛseyɛ adɔɔ so, Na ebɛdan woho bio abɛkyekye mo werɛ.", ""
"PSA.71.22", "Medze bɛntasanku so beyi wo ayɛw, Mekyerɛ wo nokwar no a, me Nyankopɔn: Ɔwo na medze nsankutsen bɔtow wo ayɛyindwom, Ao, ɔwo Israel Krɔnkrɔnnyi.", ""
"PSA.71.23", "Sɛ motow ayɛyindwom ma wo a, m’anofamfa ho bɛsɛpɛw no kɛse; Na me kra a ɔwo apon no no.", ""
"PSA.71.24", "Me tɛkyerɛma so bɛka wo tsenenee ho asɛm adzekyee nyinara: Na hɔn a wɔpɛ me bɔn no, hɔn enyi ato, na hɔn enyim egu ase.", ""
