"PSA.84.1", "Ao, Dɔm EWURADZE, Mbrɛ wo ntamadan dua yɛ fɛw a!", ""
"PSA.84.2", "Me kra kɔn dɔ, nyew, ɔtɔ bitsi mpo wɔ EWURADZE adampan no ntsi; M'akoma na mo honam dzi ehurusi ma tseasefo Nyankopɔn.", ""
"PSA.84.3", "Nyew, ɔsorɔm enya dan, Na akyemfowa enya berɛbuw ama noho, mbrɛ ɔbɔtow ne mba egu mu, Mekyerɛ w'afɔrmbukyia do a, dɔm EWURADZE, Me hen, na me Nyankopɔn.", ""
"PSA.84.4", "Esiarfo nye hɔn a wɔtse wo fi mu: Wɔbɔkɔ do eyi wo ayɛw.", ""
"PSA.84.5", "Osiarfo nye nyimpa a n'ahoɔdzen wɔ wo mu; Zion atsempɔn no wɔ n'akoma mu.", ""
"PSA.84.6", "Wotwa mu wɔ Nyinsu bɔnsa no mu a wɔdan no bea a mbasu wɔ; Nyew, adɔwnsu dze nhyira kata do.", ""
"PSA.84.7", "Wɔnantsew fi ahoɔdzen mu kɔ ahoɔdzen mu, Hɔn nyinara bopue Nyankopɔn enyim wɔ Zion.", ""
"PSA.84.8", "Ao, Dɔm EWURADZE Nyankopɔn, tsie me mpaayi: Ao, Jakob Nyankopɔn, yɛ aso.", ""
"PSA.84.9", "Hwɛ, ao hɛn akokyɛm Nyankopɔn, Na hwɛ nyia asera no no enyim.", ""
"PSA.84.10", "Na wo fie dakordzi ye sen apem wɔ ananabea. Mepɛ dɛ meyɛ me Nyankopɔn fi abowano ɔweɔmfo; Sen dɛ mebɛtsena ndzebɔnyɛfo asesee mu.", ""
"PSA.84.11", "Na EWURADZE Nyankopɔn yɛ ewia na kyɛm: EWURADZE bɛma adom na enyimnyam: Ɔremmfa adze pa biara nnkam hɔn a wɔnantsew tɔɔtsen.", ""
"PSA.84.12", "Ao, Dɔm EWURADZE, Osiarfo nye nyimpa a ɔtwer wo.", ""
