"PSA.86.1", "Ao, EWURADZE, brɛ w'aso adze, na bua me; Na meyɛ ɔbɔbɔnyi na ohianyi.", ""
"PSA.86.2", "Kora me kra do, na midzi nokwar ma wo: Me Nyankopɔn, gye w'akowaa a ɔdze noho twer wo no nkwa.", ""
"PSA.86.3", "Ao EWURADZE, hu me mbɔbɔr; Na ɔwo na musu frɛ wo adzekyee nyina.", ""
"PSA.86.4", "Ma w'akowaa n'enyi ngye; Osiandɛ ɔwo, EWURADZE, na mema me kra do ma wo.", ""
"PSA.86.5", "Na ɔwo, EWURADZE, iye, na edze kyɛ, Na w'adom dɔɔ so ma hɔn a wɔfrɛ wo nyinara.", ""
"PSA.86.6", "Ao, EWURADZE, yɛ aso ma me mpaayi; Na tsie mo nkotoserɛ ndze.", ""
"PSA.86.7", "Mefrɛ wo wɔ mo fona da mu; Osiandɛ ɔwo na egye me do.", ""
"PSA.86.8", "EWURADZE, obi nntse dɛ ɔwo wɔ enyame mu; Nkyii so ndwuma biara nnyi hɔ a ɔtse dɛ wo ndwuma.", ""
"PSA.86.9", "Amanaman a ayɛ hɔn bɛba abɔkotow w'enyim, Ao, EWURADZE; Na wɔahyɛ wo dzin enyimnyam.", ""
"PSA.86.10", "Na ɔwo eso, na eyɛ anwanwadze: Ɔwoara nkotsee nye Nyankopɔn.", ""
"PSA.86.11", "Kyerɛkyerɛ me wo pɛ; Ao, EWURADZE, ama meetsie wo wɔ nokwar mu: Kyerɛkyerɛ me ma monsom wo nokwar mu.", ""
"PSA.86.12", "Ao EWURADZE, me Nyankopɔn, medze m'akoma nyina beyi wo ayɛw; Na mebɛhyɛ wo dzin enyimnyam daa daa.", ""
"PSA.86.13", "Na wo mbɔbɔrhu so wɔ mo do; Na ɔwo eyi me kra efi samanadze n'ase noho.", ""
"PSA.86.14", "Ao, Nyankopɔn, ntsɛntsɛmfo asoɛr etsia me, Na nyimpa akakaben mboanofo no rohwehwɛ mo nkwa, Na wɔmmfa wo nnsi hɔn enyim.", ""
"PSA.86.15", "Na ɔwo, EWURADZE, eyɛ Nyankopɔn a ayamuhyehye na adom ahyɛ wo ma, Efa ebufuw nyaa, na wo mbɔbɔrhu na wo nokwar dɔɔ so.", ""
"PSA.86.16", "Ao, dan w'enyi kyerɛ me, na hu me mbɔbɔr; Fa w'ahoɔdzen ma w'akowaa, Na gye w'afonabaa ba nkwa.", ""
"PSA.86.17", "Kyerɛ me yieyɛ ho asɛnkyerɛdze bi; Ma hɔn a wokyir me nhu, na hɔn enyi nto, Osiandɛ ɔwo EWURADZE na aboa me, na akyekye mo werɛ.", ""
