"PSA.90.1", "EWURADZE, ɔwo na ayɛ hɛn tsenabea, Wɔ mbasantsen nyinara mu.", ""
"PSA.90.2", "Ansaana wɔrobɔwo mbepɔw, Anaa ereyɛ asaase na wiadze, Ofi tsetseetse kesi ɔdomankoma mpo, ɔwo yɛ Nyankopɔn.", ""
"PSA.90.3", "Ɔwo edan ɔdasanyi kɔ ɔsɛɛ mu; Na ese dɛ, Ao, Adasamba, hom nsan hom dɛtse mu.", ""
"PSA.90.4", "Na mfe apem yɛ w'enyi do Dɛ ndeda a oetwa mu, Na anadwe mu dasu.", ""
"PSA.90.5", "Ɔwo ema nyimpa pem kɔ dɛ nsuyirii; wɔyɛ dɛ adaaso: Anapa wɔtse dɛ nkyɛkyɛr a ɔfefɛw.", ""
"PSA.90.6", "Anapa ɔyɛ prɔmprɔm, na ɔfefɛw; Ewimbir no wotwa kyen, na otwintwam.", ""
"PSA.90.7", "Na yɛresa wɔ w'ebufuw mu, Na yɛrofona wɔ w'ebufuhyew mu,", ""
"PSA.90.8", "Ɔwo edze hɛn emumuyɛ esi w'enyim, Edze hɛn nsumaa mu bɔn aba w'enyim kan no mu.", ""
"PSA.90.9", "Na hɛn nda nyinara etwa mu kɔ wɔ w'ebufuw mu: Hɛn mfe ba ewiei dɛ ahomgu.", ""
"PSA.90.10", "Hɛn mfe mu nda yɛ mfe eduosuon, Anaa bi a ahoɔdzen ntsi wodu mfe eduowɔtwe; Naaso hɔn ahopɔw yɛ ɔberɛ na awerɛhow; Na otwa mu ntsɛmara, na yetu kɔ.", ""
"PSA.90.11", "Woana ara nyim w'ebufuw ne dzen, Na w'ebufuhyew dɛ mbrɛ wo ho suro tse?", ""
"PSA.90.12", "Ntsi kyerɛkyerɛ hɛn ma yɛnkan hɛn nda, Ama yeenya nyansa akoma.", ""
"PSA.90.13", "Ao, EWURADZE, san w'ekyir fi w'ebufuw ho: ɔnkyɛr nkodu dabɛn ara? Ao, ma wo nkowaa adze nyɛ wo mbɔbɔr.", ""
"PSA.90.14", "Fa wo mbɔbɔrhu mee hɛn anapahema; Ma yendzi ehurusi na hɛn enyi ngye hɛn nda nyinara.", ""
"PSA.90.15", "Ma hɛn ho nsɛpɛw hɛn dɛ mbrɛ nda a ahaw hɛn wɔ mu no tse, Na dɛ mbrɛ mfe a yeehu mu mbusu no tse.", ""
"PSA.90.16", "Ma w'edwuma nda edzi mma wo nkowaa, Na w'enyimnyam nda edzi wɔ hɔn mba do.", ""
"PSA.90.17", "Na ma EWURADZE hɛn Nyankopɔn n'enyimtsewee no mbra hɛn do: Na ma hɛn nsaano edwuma nyɛ yie mma hɛn; Nyew, ma hɛn nsaano edwuma nyɛ yie.", ""
