"PSA.143.1", "Tsie me mpaabɔ; Ao EWURADZE, yɛ aso ma mo nkotoserɛ: Gye me do wɔ wo nokwardzi na wo tsenenee mu.", ""
"PSA.143.2", "Na mma mmfa w'akowaa nnkɔ atsɛmbu mu; Na ɔwo w'enyim ɔtseasefo biara rinndzi bem.", ""
"PSA.143.3", "Na ɔtamfo no ahaw me kra; Ɔabɔ mo nkwa ahwe famu: Ɔama matsena sum mbeambea do dɛ hɔn a woewu akyɛr.", ""
"PSA.143.4", "Dɛm ntsi mo sunsum atɔ bitsi wɔ mo mu; M'akoma ayɛ ankonam wɔ mo mu.", ""
"PSA.143.5", "Mekaa tsetse nda no; Modwendwen wo ndzeyɛe nyinara ho: Mususu wo nsaano edwuma ho.", ""
"PSA.143.6", "Mema me nsa do kyerɛ wo: Wo ho sukɔm dze me kra, dɛ asaase a oetwie.", ""
"PSA.143.7", "Ao EWURADZE, yɛ ntsɛm gye me do; m'ahom repa: Mma nnyi w'enyim nnhuntsa me ae; Bɛyɛ na mayɛ dɛ hɔn a wosian kɔ adakamona mu no.", ""
"PSA.143.8", "Ma mentse w'adɔyɛ nka anapa; Na ɔwo na motwer wo: Ma munhu akwan a ɔsɛ dɛ menantsew do; Na ɔwo na mema me kra do ma wo.", ""
"PSA.143.9", "Ao, EWURADZE, gye me fi m'atamfo nsa: Muguan toa wo dɛ fa me huntsa.", ""
"PSA.143.10", "Kyerɛkyerɛ me ma menyɛ wo pɛ; na ɔwo nye me Nyankopɔn: Ma wo sunsum akwankyerɛ pa no ngya me mfa tsenenee asaase do.", ""
"PSA.143.11", "EWURADZE, gye me nkwa wɔ wo dzin ntsi: Yi me kra fi ɔfona mu wɔ wo ndzeyɛtsenenee mu.", ""
"PSA.143.12", "Na twa m'atamfo gu wɔ w'adɔyɛ mu, Na sɛɛ hɔn a wohiahia me kra ho nyinara; Osiandɛ meyɛ w'akowaa.", ""
