"REV.1.1", "Jesus Kraest ne Nyikyerɛ a Nyankopɔn dze maa no dɛ ɔnkyerɛ no nkowaa dza otwar dɛ ɔbɛba ntsɛm; na ɔsomae nam no bɔfoe do dze bɛkyerɛɛ n'akowaa John;", ""
"REV.1.2", "ɔno na odzii dase wɔ Nyankopɔn asɛm nye Jesus Kraest dasedzi ho, wɔ ndzɛmba a ohunii nyina ho.", ""
"REV.1.3", "Nhyira nye onyia a ɔkenkan, nye hɔn a wotsie nkɔnhyɛnsɛm no, na wɔdze dza wɔakyerɛw no wɔ mu no sie: osiandɛ ber no abɛn.", ""
"REV.1.4", "John dze kɛma asɔrtɔw esuon a wɔwɔ Asia no: Adom nye asomdwee mfi nyia ɔwɔ hɔ, ɔwɔ hɔ dada, na ɔreba no; nye esunsum esuon a wɔwɔ n'ahengua no enyim no;", "#Eks 3.14; Nyi 4.5"
"REV.1.5", "nye Jesus Kraest a ɔyɛ dasefo nokwafo, ewufo mu abakan, nye asaase do ahemfo hɔn do hwɛdofo no nkyɛn, nka hom. Nyia ɔdɔ hɛn, na ɔdze no bɔgyaa saan hɛn fii hɛn bɔn mu;", "#Isa 55.4; Dwom 89.27"
"REV.1.6", "na ɔayɛ hɛn ahenman, asɔfo ama n'Egya Nyankopɔn no; ɔno na enyimnyam nye tumdzi nka no mbersantsen mfesantsen. Amen.", "#Eks 19.6; Nyi 5.10"
"REV.1.7", "Hwɛ, ɔnam nsuwusiw mu reba; na enyiwa nyina bohu no, mpo hɔn a wɔwɔɔ no peaa no; na wiadze mbusuakuw nyina botwa no ho kwadwom. Dɛmara na ɔbɛyɛ. Amen.", "#Dan 7.13; Mat 24.30; Mar 13.26; Luk 21.27; 1 Tes 4.17; Zek 12.10; Joh 19.34, 37; Zek 12.10; Mat 24.30"
"REV.1.8", "Ewuradze Nyankopɔn na ɔse,  nyia ɔwɔ hɔ, ɔwɔ hɔ dada, na ɔreba no, adze nyina do Tumfo no.", "#Nyi 22.13; Eks 3.14   Emi nye Alfa nye Omega,"
"REV.1.9", "Emi John a meyɛ hom nua, na menye hom wɔ kyɛfa wɔ Jesus Kraest mu ahohia, nye ahendzi nye abotar no mu no, ɔnam Nyankopɔn n'asɛm nye Jesus Kraest dasedzi ntsi nna mowɔ supruw a wɔfrɛ no Patmos no do.", ""
"REV.1.10", "Nna mowɔ Sunsum no mu Ewuradze ne da no mu, na metsee m'ekyir ndze kɛse bi, tse dɛ totorobɛnto,", ""
"REV.1.11", "dɛ,  Dza ihu yi kyerɛw no nwoma mu, na soma kɛma asɔrtɔw esuon no; fa kɛma Efeso, nye Semirna, nye Pergamum, nye Tiatira, nye Sardis, nye Filadelfia nye Laodikea.", ""
"REV.1.12", "Nna medaan moho dɛ morokɔhwɛ ndze a ɔkasaa kyerɛɛ me no. Na medaan moho no, muhun sikakɔkɔɔ nkandzeadua esuon:", ""
"REV.1.13", "na dɛm nkandzeadua esuon no finimfin no muhun obi a ɔtse dɛ nyimpa ba, ɔhyɛ atar wiww ka ne nansa, na ɔdze sika abɔdo abɔ no koko do.", "#Dan 7.13; Dan 10.5"
"REV.1.14", "Na ne tsir nye ne tsinhwi hoa dɛ nguanhwi fitaa, ɔtse dɛ esukwankyɛba; na n'enyiwa tse dɛ gyaframee;", "#Dan 7.9 #Dan 10.6"
"REV.1.15", "na n'anan tse dɛ ayewa a wɔaber ho wɔ fononoo mu na woetwuw ho, na ne ndze tse dɛ esu pii ndze.", "#Eze 1.24; 43.2"
"REV.1.16", "Na okitsa nworaba esuon wɔ ne nsa nyimfa mu, na afona anofanu ndam ndam fi n'anomu. Na no momapɔw tse dɛ ewia a ɔrehyerɛn wɔ n'ahoɔdzen mu.", ""
"REV.1.17", "Na muhun no no, mohwee n'ananadze dɛ owufo. Naaso ɔdze ne nsa nyimfa too mo do, see dɛ,  Mma nnsuro, Emi nye ɔkandzifo nye okyidzifo no,", "#Isa 44.6; 48.12; Nyi 2.8; 22.13"
"REV.1.18", "nye nyia ɔtse ase no; na muwui; na hwɛ, metse ase mbersantsen mfesantsen, na mikitsa owu nye samanadze nsaafee.", ""
"REV.1.19", "Afei kyerɛw dza ehu, nye dza ɔwɔ hɔ, nye dza iyi ekyir ɔbɛba no.", ""
"REV.1.20", "Nworaba esuon a ihunii wɔ me nsa nyimfa mu nye sikakɔkɔɔ nkandzeadua esuon no ho esumasɛm no nye iyi: nworaba esuon no nye asɔrtɔw esuon no mu abɔfo; na nkandzeadua esuon no so nye asɔrtɔw esuon no.", ""
