"REV.8.1", "Na ɔtseew nsɔwano a otsia esuon no ano no, ɔsor taa tsinkonn bɛyɛ dɔnhwerfa.", ""
"REV.8.2", "Na muhun abɔfo beesuon a wogyinagyina Nyankopɔn enyim no; na wɔmaa hɔn totorobɛnto esuon.", ""
"REV.8.3", "Na ɔbɔfo bi so bae begyinaa afɔrmbukyia no ho a okitsa sika nduhuam kɔɔpow; na wɔdze nduhuam pii maa no, dɛ ɔmfa mfora ahotseweefo mpaabɔ no mbɔ afɔr wɔ sika afɔrmbukyia no a osi ahengua no enyim no do.", "#Amos 9.1; Eks 30.1, 3"
"REV.8.4", "Na nduhuam no wusiw foraa ahotseweefo mpaabɔ no fii abɔfo no nsamu faa sor kɔr Nyankopɔn enyim.", ""
"REV.8.5", "Na ɔbɔfo no faa nduhuam kɔɔpow no; na ɔdze afɔrmbukyia no do gya no bi hyɛɛ no ma, na ɔtowee kyeen asaase do: na asenaman nye ndze ahorow, nye enyinam, nye asaasewosow bae.", "#Lev 16.12; Eze 10.2; Eks 19.16; Nyi 11.19; 16.18"
"REV.8.6", "Na abɔfo beesuon no a wokitsa totorobɛnto esuon no siesiee hɔnho dɛ wɔrebɛhɛn.", ""
"REV.8.7", "Na nyia odzi kan no hɛnee, na ɔsorbo nye gya a bɔgya edzi afora bae, na wɔtowee guu asaase do: na asaase nkyekyɛmu ebiasa mu kor hyewee, na ndua nkyekyɛmu ebiasa mu kor hyewee, na efuw momon nyina hyewee.", "#Eks 9.23-25; Eze 38.22"
"REV.8.8", "Na ɔbɔfo a otsia ebien no hɛnee, na wɔtoow adze a ɔtse dɛ bepɔw kɛse a ɔredzɛw gya kyeen po mu: na po nkyekyɛmu ebiasa mu kor daan bɔgya;", ""
"REV.8.9", "na abɔdze a nkwa wɔ mu a wɔwɔ po mu nkyekyɛmu ebiasa mu kor wuwui; na ahɛn nkyekyɛmu ebiasa mu kor sɛɛe.", ""
"REV.8.10", "Na ɔbɔfo a otsia ebiasa no hɛnee, na woraba kɛse bi fi sor hwee famu a ɔredzɛw dɛ ogyatsɛn, na ɔkɔhwee esutsen nkyekyɛmu ebiasa mu kor do, nye nsunyiwa do;", "#Isa 14.12"
"REV.8.11", "na woraba no ne dzin dze Bɔwen: na esu no ne nkyekyɛmu ebiasa mu kor yɛɛ wenwen; na nyimpa piinara wuwui wɔ nsu no wen a ɔayɛ ntsi.", "#Jer 9.15"
"REV.8.12", "Na ɔbɔfo a otsia anan no hɛnee, na wɔbɔɔ ewia nkyekyɛmu ebiasa mu kor, nye bosoom nkyekyɛmu ebiasa mu kor, nye nworaba nkyekyɛmu ebiasa mu kor; ma hɔn nkyekyɛmu a otsia ebiasa no yeyɛɛ sum, na adzekyee nkyekyɛmu a otsia ebiasa annhyerɛn, na adzesaa so dɛmara.", "#Isa 13.10; Eze 32.7; Joel 2.10, 31; 3.15"
"REV.8.13", "Na muhunii, na metsee ɔkɔr a orutu fa sor finimfin, dɛ ɔdze ndze kɛse rese dɛ, Hɔn a wɔtse asaase do nyina ndue, wondue, wondue, ɔnam ndze a obefi abɔfo baasa no hɔn totorobɛnto no mu aba no ntsi.", ""
