"REV.16.1", "Na metsee ndze kɛse bi a ofi asɔrdan no mu rese abɔfo beesuon no dɛ, Hom nkɔ nkohue Nyankopɔn n’ebufuw nkɔɔpow esuon no ngu asaase do.", ""
"REV.16.2", "Na dza odzi kan no kɔree kohuee no kɔɔpow guu asaase do, na ɔdaan kur mpɔtɔwee a ɔyɛ yaw wɔ nyimpa a wɔwɔ abowa no ne nsewhyɛ, na wɔkotoow no honyi no do.", "#Eks 9.10"
"REV.16.3", "Na dza otsia ebien no huee no kɔɔpow guu po mu, na ɔdaan dɛ owufo bɔgyaa; na dza ɔwɔ po no mu a ɔtse ase biara wui.", ""
"REV.16.4", "Na dza otsia ebiasa no huee no kɔɔpow guu esutsen nye nsunyiwa do, na ɔdaan bɔgya.", "#Eks 7.17-21; Dwom 78.44"
"REV.16.5", "Na metsee dɛ esu bɔfo no rese dɛ, Ɔtseneneenyi nye ɔwo a ewɔ hɔ, na ewɔ hɔ dada, ɔwo Krɔnkrɔnnyi, dɛ ebu atsɛn dɛm:", ""
"REV.16.6", "osiandɛ wohuee ahotseweefo nye nkɔnhyɛfo no bɔgyaa gui, na ama hɔn bɔgya dɛ wɔnnom: Dɛm na ɔfata hɔn!", ""
"REV.16.7", "Na metsee ndze bi so fi afɔrmbukyia no mu se dɛ, Nyew, Ewuradze, Otumfo Nyankopɔn, w’atsɛmbu yɛ nokwar nye tsenenee.", ""
"REV.16.8", "Na dza otsia anan no huee no kɔɔpow guu ewia do; na wɔmaa no ahoɔdzen dɛ ɔmfa gya nhyehye nyimpa.", ""
"REV.16.9", "Na wɔdze ɔhyew kɛse hyehyee nyimpa: na wɔkaa Nyankopɔn a ɔwɔ tum wɔ dɛm mbusuhaw yi do no ne dzin ho ebususɛm na woennu hɔnho annhyɛ no enyimnyam.", ""
"REV.16.10", "Na dza otsia enum no huee no kɔɔpow guu abowa no n’ahengua no do; na n’ahenman yɛɛ sum; na ɔyaw no ntsi wɔkekaa hɔn tɛkyerɛma,", "#Eks 10.21"
"REV.16.11", "na wɔkaa sor Nyankopɔn ho ebususɛm, wɔ hɔn yaw nye hɔn ekur no ntsi; na woennu hɔnho emmfi hɔn ndwuma mu.", ""
"REV.16.12", "Na dza otsia esia no huee no kɔɔpow guu esutsen kɛse Eufrates mu; na no mu nsu wewee, ama woeesiesie kwan ama ahemfo a wofi wipuei no.", ""
"REV.16.13", "Na muhun esunsum fi ebiasa a wɔtse dɛ ntwɛr fi sasabɔnsam no anomu, nye abowa no anomu, nye nkɔnhyɛnyi torfo no anomu:", ""
"REV.16.14", "na wɔyɛ mbɔnsam esunsum a wɔyɛ nsɛnkyerɛdze, na wopue kɔ wiadze nyina ahemfo hɔ, kɔboaboa hɔn ano ma Nyankopɔn, adze nyina do Tumfo, ne da kɛse ko no.", ""
"REV.16.15", "(Hwɛ, mereba dɛ owifo. Nhyira nye onyia ɔweɔn, na osie ne ntar, amma ɔaanantsew adagyaw mu na woeennhu n’ahoto.)", "#Mat 24.43, 44; Luk 12.39, 40; Nyi 3.3"
"REV.16.16", "Na wɔboaboaa hɔn ano kɔr beebi a wɔfrɛ no Hebriw kasa mu Harmagedon.", "#2 Ahe 23.29; Zek 12.11"
"REV.16.17", "Na dza otsia esuon no huee no kɔɔpow guu ehum enyi; na ndze kɛse bi fi asɔrdan no mu ahengua no do bae dɛ, Woewie!", ""
"REV.16.18", "Na enyinam, nye ndze, nye asenaman bae; na asaasewosow kɛse bi bae a ofitsi ber a nyimpa baa asaase do wonnhun bi pɛn, asaasewosow kɛse a ɔyɛ dzen a.", "#Nyi 8.5; 11.13, 19"
"REV.16.19", "Na kurow kɛse no mu paa afaafa ebiasa, na amanamamfo nkurow hwehwee ase: na wɔkaa Babilɔn kɛse no wɔ Nyankopɔn enyim, dɛ wɔbɛma no n’ebufuw a ɔyɛ hyew no no wenyin kɔɔpow.", "#Isa 51.17"
"REV.16.20", "Na nsupruw nyina guanguanee, na woennhu mbepɔw.", "#Nyi 6.14"
"REV.16.21", "Na ɔsorbo a kor no dur bɛyɛ kyɛpɛn kɛse kor, fi sor bɔhwehwee nyimpa do: na nyimpa kasaa Nyankopɔn ho ebususɛm, wɔ ɔsorbo no ne haw ntsi: osiandɛ ne haw no so kɛse.", "#Eks 9.23; Nyi 11.19"
