"REV.20.1", "Na muhun ɔbɔfo bi dɛ ofi sor risian a okitsa bun no ne saafee na nkɔnsɔnkɔnsɔn kɛse wɔ ne nsamu.", ""
"REV.20.2", "Na ɔkyeer sasabɔnsam no, ɔwɔ dadaw no a ɔno nye Abɔnsam nye Satan no, na ɔkyekyeer no mfe apem,", "#Gye 3.1"
"REV.20.3", "na ɔtoow no kyeen bun no mu, na ɔtoow no mu, na ɔsɔɔw ano wɔ no do, amma ɔaannkɛdaadaa amanaman no bio, gyedɛ mfe apem no aso ana: na ɔno ekyir otwar dɛ wɔsan no mber kakra.", ""
"REV.20.4", "Na muhun nhengua, na wɔtsenatsenaa do, na wɔdze atsɛmbu maa hɔn: na muhun hɔn a Jesus dasedzi, nye Nyankopɔn asɛm ntsi wotwitwaa hɔn etsir no hɔn akra, nye hɔn a wɔannkotow abowa no, anaa no honyi, na wɔanngye nsewhyɛ no wɔ hɔn momapɔw nye hɔn nsa do no; na wɔtsenaa ase nye Kraest dzii hen mfe apem.", "#Dan 7.9, 22"
"REV.20.5", "Na ewufo nkaa no dze, woennya nkwa bio dze kodur dɛ mfe apem no bowie du. Iyi nye owusoɛr a odzi kan no.", ""
"REV.20.6", "Nhyira nye krɔnkrɔn nye onyia no a onya kyɛfa wɔ owusoɛr a odzi kan no mu no: iyinom na owu mprɛnu no nnyi hɔn do tum; na wɔbɛyɛ Nyankopɔn nye Kraest asɔfo, na wɔnye no edzi hen mfe apem.", ""
"REV.20.7", "Na sɛ mfe apem no wie du a, wɔbɛsan Satan efi n’efiadze,", ""
"REV.20.8", "na obopue akɛdaadaa amanaman a wɔwɔ asaase mfɛndzanan no, Gog nye Magog, akɔboaboa hɔn ano akɔ sa: hɔn na hɔn dodow tse dɛ mpoano anhwea.", "#Eze 7.2; Eze 38.2, 9, 15"
"REV.20.9", "Na wɔfowee kegyinaa asaase tɛtɛr do, na wokotwaa ahotseweefo nseraban nye kurow a wɔdɔ no no ho hyiae: na ogya fi sor wɔ Nyankopɔn nkyɛn bɛhyeew hɔn.", ""
"REV.20.10", "Na abɔnsam a ɔdaadaa hɔn no, wɔtoow no kyeen gya nye sɔɔfee nsutaae no mu, hɔ na abowa no nye nkɔnhyɛnyi torfo no so wɔ; na wɔbɛyɛ hɔn ayaayaadze adzekyee nye adzesaa mbersantsen mfesantsen.", ""
"REV.20.11", "Na muhun ahengua fufuw kokroko, nye nyia ɔtse do no a asaase nye ɔsor fii n’enyim guanee; na woennya beebi amma hɔn no.", "#Dan 7.9, 10"
"REV.20.12", "Na muhun ewufo, nkakraba nye akɛse, dɛ wogyinagyina ahengua no enyim; na woebuebue nwoma mu: na woebue nwoma bi so a ɔyɛ nkwa nwoma no mu: na wɔnam dza wɔakyerɛw wɔ nwoma no mu no do buu ewufo no atsɛn dɛ mbrɛ hɔn ndwuma tse.", ""
"REV.20.13", "Na po yii ewufo a wɔwɔ no mu mae; na owu nye samanadze yii ewufo a wɔwɔ hɔn mu mae, na wobuu hɔn mu biara atsɛn dɛ mbrɛ hɔn ndwuma tse.", ""
"REV.20.14", "Na wɔtoow owu nye samanadze guu ogya nsutaae no mu. Iyi nye owu mprɛnu no.", ""
"REV.20.15", "Na obiara a woennhu dɛ wɔakyerɛw ne dzin wɔ nkwa nwoma no mu no, wɔtoow no kyeen ogya nsutaae no mu.", ""
