"ROM.1.1", "Paul, Jesus Kraest n’akowaa, ɔsomafo a wɔafrɛ no na woeyi no esi hɔ ama Nyankopɔn n’asɛmpa a", ""
"ROM.1.2", "ɔnam no nkɔnhyɛfo no do dzii kan bɔɔ anohoba wɔ kyerɛwsɛm krɔnkrɔn no mu,", ""
"ROM.1.3", "wɔ ne Ba no a wɔwoo no David asenyi wɔ honam afamu no ho,", ""
"ROM.1.4", "na woyii no kyerɛɛ dɛ Nyankopɔn Ba wɔ tum mu, wɔ ahotsewee sunsum afamu, ɔnam ewufo mu soɛr do; Jesus Kraest hɛn Ewuradze a,", ""
"ROM.1.5", "yɛnam no do enya adom nye asomafodwuma akɔ gyedzi setsie mu wɔ amanaman nyina mu, wɔ ne dzin ntsi:", ""
"ROM.1.6", "dɛm amanamamfo yi mu na hom so hom wɔ, hom a Jesus Kraest afrɛ hom ayɛ nedze no.", ""
"ROM.1.7", "Emi Paul yi na mekyerɛw dze kɛma Nyankopɔn n’adɔfo a wɔwɔ Rome nyina, ahotseweefo a wɔafrɛ hɔn no. Adom nye asomdwee a ofi hɛn Egya Nyankopɔn nye Ewuradze Jesus Kraest hɔ nka hom.", ""
"ROM.1.8", "Dza odzi kan nye dɛ menam Jesus Kraest do da me Nyankopɔn ase wɔ hom nyina ntsi, osiandɛ wɔka hom gyedzi ho asɛm wɔ wiadze nyina.", ""
"ROM.1.9", "Na me dasefo nye Nyankopɔn a mosom no mo sunsum mu wɔ ne Ba n’asɛmpa no mu, mbrɛ minngyaa hom dzin bɔ da,", ""
"ROM.1.10", "na meserɛ wɔ me mpaabɔ mu daa dɛ bi a da bi Nyankopɔn pɛ a, ongya me kwan pa ma membra hom nkyɛn.", ""
"ROM.1.11", "Na m’enyi gyina dɛ muhu hom, ma meeyi sunsum mu akyɛdze bi ama hom, ama hom eetsintsim:", ""
"ROM.1.12", "ɔno nye dɛ, yɛnam homankasa hom gyedzi na emi medze so do hɛn nyina eenya awerɛkyekyer wɔ hɛn mu.", ""
"ROM.1.13", "Na eso, enuanom, memmpɛ dɛ medze besie hom dɛ mpɛn pii nye yi a mabɔ me tsirmu pɔw dɛ mebɛba hom nkyɛn (naaso woesiw me kwan ebodu sesei) ama meenya hom so hom mu aba bi, dɛ amanamamfo nkaa no so.", "#Ndwu 19.21"
"ROM.1.14", "Meyɛ kafonyi ma Griikfo nye amamforafo nyina, enyansafo nye adwenharfo nyina.", ""
"ROM.1.15", "Dɛm ntsi na medze ndamyɛ ayɛ krado dɛ mebɛka asɛmpa no akyerɛ hom a hom wɔ Rome so.", ""
"ROM.1.16", "Na m’enyi nnto asɛmpa no ho, osiandɛ ɔyɛ Nyankopɔn no tum a ɔdze kɔ nkwagye mu ma hɔn a wɔgye dzi nyina, odzi kan Jewfo, nye Griikfo so.", "#Mar 8.38"
"ROM.1.17", "Osiandɛ no mu na woyi Nyankopɔn tsenenee edzi, ɔnam gyedzi mu kowie gyedzi mu: dɛ mbrɛ wɔakyerɛw dɛ, Ɔtseneneenyi nam gyedzi do benya nkwa.", "#Hab 2.4"
"ROM.1.18", "Na wofi sor ada Nyankopɔn ebufuw no edzi etsia nyimpa a wonnsuro Nyame na wɔdze brakyew nam emumuyɛ nyina do siw nokwar no kwan no;", ""
"ROM.1.19", "na dza wohu no Nyankopɔn ho a ɔyɛ yie no da hɔ pefee wɔ hɔn mu: osiandɛ Nyankopɔn na oeyi akyerɛ hɔn.", ""
"ROM.1.20", "Na Nyankopɔn ho adze a wonnhu no, ofitsi ber a wɔbɔɔ wiadze no ɔnam ndzɛmba a wɔayɛ do ada no edzi pefee, ma wɔdze adwen hu mu, mekyerɛ no tum a onnyi ewiei nye ne nyamesu no; dɛm ntsi wonnyi anoyi biara;", ""
"ROM.1.21", "osiandɛ wohun Nyankopɔn no, wɔannhyɛ no enyimnyam dɛ Nyankopɔn, eso wɔannda no ase; na mbom hɔn adwen yɛ nkwaseadwen, na sum hyɛɛ hɔn akoma a ntseasee nnyi mu no ma.", "#Efe 4.17, 18"
"ROM.1.22", "Hɔnara wɔse wɔyɛ enyansafo no, wɔdaan nkwasea,", ""
"ROM.1.23", "na wɔsakyeer Nyankopɔn a ɔmmprɔw n’enyimnyam yɛɛ nyimpa a ɔprɔw no honyi saso, nye ntumbowa, nye mbowa a wotsia ntwɛr anan, nye aweaweambowa dze.", "#Deut 4.16-18"
"ROM.1.24", "Dɛm ntsi Nyankopɔn yii hɔn maa efifidze wɔ hɔn akoma akɔndɔ mu, dɛ wongu hɔn nyimpadua ho fi wɔ hɔn mu,", ""
"ROM.1.25", "osiandɛ wɔsesaa Nyankopɔn no nokwar no gyee ator, na wɔsɔree soom abɔdze kyɛɛn Bɔadze, ɔno a woehyira no daa no; Amen.", ""
