"ROM.3.1", "Dɛm a, nna ebɛnadze mu na Jewnyi enya no yie ma ɔbor do? Anaaso dɛ ebɛn mfaso na ɔwɔ twatsiatwa ho?", ""
"ROM.3.2", "Mfaso a ɔwɔ mu dɔɔ so akwan nyina mu. Dza odzi kan nye dɛ Jewfo na wɔdze Nyankopɔn nsɛm hyɛɛ hɔn nsa.", ""
"ROM.3.3", "Na sɛ binom anngye enndzi a, ɔyɛ dɛn? Ana hɔn ekyingye bɛma Nyankopɔn no nokwardzi ayɛ kwa?", ""
"ROM.3.4", "Dabida: na mbom ma Nyankopɔn nyɛ nokwafo, na nyimpa nyina nyɛ atorfo; dɛ mbrɛ wɔakyerɛw no dɛ, Ama eedzi bem wɔ wo nsɛm mu, Na wobu wo atsɛn a, eedzi nyim.", "#Dwom 51.4"
"ROM.3.5", "Na sɛ hɛn brakyew yi na oyi Nyankopɔn ne tsenenee kyerɛ a, yɛbɛse dɛn? Dɛ Nyankopɔn nntsen dɛ ɔdze ebufuw ba hɛn do anaa? (Mekasa dɛ nyimpa.)", ""
"ROM.3.6", "Dabida: sɛ ɔtse dɛm a, nkyɛ Nyankopɔn bɛyɛ dɛn ebu wiadze atsɛn?", ""
"ROM.3.7", "Na sɛ wɔnam m’ator do ahyɛ Nyankopɔn no nokwar enyimnyam mbordo a, ɔyɛ dɛn na wɔda ho bu me atsɛn dɛ ɔdzebɔnyɛnyi?", ""
"ROM.3.8", "Na ebɛnadze ntsi na yɛnnka dɛ, (dɛ mbrɛ binom ka to hɛn do dɛ yɛse dɛ), Hom mma yɛnyɛ bɔn ama papa aaba? Hɔn dɛm no na wɔfata afɔbu.", ""
"ROM.3.9", "Dɛm a ebɛn asɛm a? Wɔkyɛn hɛn anaa? Dabiarada: osiandɛ yeedzi kan aka afa Jewfo nye Griikfo nyina ho dɛ, hɔn nyina hyɛ bɔn ase;", ""
"ROM.3.10", "dɛ mbrɛ wɔakyerɛw dɛ, Ɔtseneneenyi nnyi hɔ, ɔbaako mpo nnyi hɔ;", "#Dwom 14.1-3; 53.1-3"
"ROM.3.11", "Obiara nnyi hɔ a ɔwɔ ntseasee, Obiara nnyi hɔ a ɔhwehwɛ Nyankopɔn ekyir kwan;", ""
"ROM.3.12", "Hɔn nyina amanaman, hɔn nyina ayɛ dza mfaso nnyi ho; Obiara nnyi hɔ a ɔyɛ papa, oho, nnyɛ ɔbaako mpo.", ""
"ROM.3.13", "Hɔn meneba yɛ nda a oebue; Wɔdze hɔn tɛkyerɛma adaadaa; Nhurutsia bɔr wɔ hɔn anofamfa ase:", "#Dwom 5.9; 140.3"
"ROM.3.14", "Hɔn anomu ahyɛ ndom nye wenwen ma;", "#Dwom 10.7"
"ROM.3.15", "Hɔn anan yɛ har dɛ wɔdze keka bɔgya gu;", "#Isa 59.7, 8"
"ROM.3.16", "Ɔsɛɛ nye amandzehu wɔ hɔn akwan do,", ""
"ROM.3.17", "Na asomdwee kwan no dze, woennhu;", ""
"ROM.3.18", "Nyankopɔn ho suro biara nnyi hɔn enyiwa do.", "#Dwom 36.1"
"ROM.3.19", "Na yenyim dɛ biribiara a mbra no se no, ɔka kyerɛ hɔn a wɔwɔ mbra no ase, ama wɔaaka ano nyina ato mu, ma wiadze nyina eedzi Nyankopɔn atsɛmbu mu fɔ.", ""
"ROM.3.20", "Osiandɛ ɔnam mbra no ndwuma do a worummbu honam biara bem wɔ n’enyim: na mbra no do na wɔnam hu bɔn mbrɛ ɔtse.", "#Dwom 143.2; Gal 2.16"
"ROM.3.21", "Na afei dze, woekwetsi mbra no eyi Nyankopɔn ne tsenenee bi edzi, no ho dase na mbra no nye nkɔnhyɛfo no dzii:", ""
"ROM.3.22", "dza ɔyɛ Nyankopɔn tsenenee no a ɔnam Jesus Kraest ho gyedzi do hɛn hɔn a wɔgye dzi nyina mu no, osiandɛ nyiyimu biara nnyi hɔ;", "#Gal 2.16"
"ROM.3.23", "na hɔn nyina ayɛ bɔn, na wɔatɔ sin wɔ Nyankopɔn enyimnyam ho;", ""
"ROM.3.24", "na wɔdze n’adom nam pon a ɔwɔ Jesus Kraest mu no do bu hɔn bem kwa.", ""
"ROM.3.25", "Ɔno na Nyankopɔn dze no sii hɔ dɛ mpatadze a ɔnam gyedzi do wɔ no bɔgyaa mu, dɛ ɔdze bɛkyerɛ ne tsenenee, dɛ bɔn a kan no wɔyɛe no ɔama etwa mu, wɔ Nyankopɔn n’abotar mu.", ""
"ROM.3.26", "Medɛ, ɔdze kyerɛɛ ne tsenenee wɔ ber yi mu, ama nankasa oeedzi bem, na ɔaayɛ nyia ɔwɔ gyedzi wɔ Jesus Kraest mu bembufo.", ""
"ROM.3.27", "Dɛm a nna ebɛn kwan na nyimpa wɔ dɛ ɔhyehyɛ no ho? Ɔmmba mu koraa. Ɔnam mbra bɛn do? Ndwuma dze no a? Oho, na ɔnam gyedzi mbra bi do.", ""
"ROM.3.28", "Dɛm ntsi yebu no dɛ wokwetsi mbra ndwuma no nam gyedzi do bu nyimpa bem.", ""
"ROM.3.29", "Anaa Nyankopɔn yɛ Jewfo nko dze? Ana ɔnnyɛ amanamamfo so dze bi? Nyew, ɔyɛ amanamamfo so Nyankopɔn.", ""
"ROM.3.30", "Sɛ Nyankopɔn kor no ara na ɔnam twatsiatwafo gyedzi do bobu hɔn bem, na ɔnam hɔn a wonntwaa hɔn twatsia so gyedzi do bobu hɔn bem a,", "#Deut 6.4; Gal 3.20"
"ROM.3.31", "nna yɛnam dɛm gyedzi yi do ma mbra no yɛ gyan anaa? Dabida: mbom yɛma mbra no tsim.", ""
