"ROM.4.1", "Ebɛnadze koraa na afei yɛbɛka dɛ hɛn honam afamu egya Abraham enya?", ""
"ROM.4.2", "Na sɛ ofir ndwuma mu na wobuu Abraham bem a, ɔwɔ dza ɔdze tuw: na nnyɛ Nyankopɔn afamu a.", ""
"ROM.4.3", "Na ebɛnadze na kyerɛw no ka? Na Abraham gyee Nyankopɔn dzii, na wobuu no tsenenee maa no.", "#Gye 15.6; Gal 3.6"
"ROM.4.4", "Na nyia ɔyɛ edwuma no, wommbu n'akatua dɛ adom, na mbom dɛ kaw bi a wotua.", ""
"ROM.4.5", "Na nyia ɔnnyɛ edwuma, na ɔgye nyia obu busuyɛfo bem dzi no, wobu ne gyedzi dɛ tsenenee ma no.", ""
"ROM.4.6", "Dɛ mbrɛ David so bɔ nhyira ma nyimpa a Nyankopɔn kwetsi ndwuma bu tsenenee ma no, dɛ,", ""
"ROM.4.7", "Nhyira nye hɔn a wɔdze hɔn mbrato akyɛ hɔn, Na hɔn ndzebɔn wɔakata do.", "#Dwom 32.1, 2"
"ROM.4.8", "Nhyira nye nyimpa a Ewuradze rummbu bɔn nngu no do.", ""
"ROM.4.9", "Ana nhyira yi wɔbɔ ma twatsiafo nko, anaa hɔn a wonntwaa hɔn twatsia so? Osiandɛ yɛka dɛ, Wobuu gyedzi dɛ tsenenee maa Abraham.", ""
"ROM.4.10", "Na wobui maa no dɛn? Woetwa no twatsia no anaa wonnyae nntwaa no twatsia no a? Hwɛ, nnyɛ twatsiatwa mu a na mbom monomonomyɛ mu a;", ""
"ROM.4.11", "na onyaa twatsiatwa asɛnkyerɛdze no dɛ gyedzi a onyae wɔ ber a wonntwaa no twatsia mu no ne tsenenee ho nsɔwano: ama ɔaayɛ agyedzifo a wɔyɛ monomonomfo nyina egya, na woeebu no tsenenee ama hɔn;", "#Gye 17.10"
"ROM.4.12", "na ɔaayɛ twatsiatwafo egya ama hɔn a nnyɛ dɛ wofi twatsiafo mu nko, na mbom so hɔn a wotsiatsia gyedzi a hɛn egya Abraham nyae wɔ ber nna wonntwaa no twatsia no anamɔn mu no.", ""
"ROM.4.13", "Na nnyɛ mbra no do na anohoba a wɔbɔɔ Abraham anaa n'asefo dɛ wɔbɛyɛ wiadze adzedzifo nam bae, na mbom ɔnam gyedzi tsenenee do.", "#Gye 17.4-6; 22.17, 18; Gal 3.29"
"ROM.4.14", "Na sɛ hɔn a wofi mbra mu no yɛ adzedzifo a gyedzi no ayɛ kwa, na anohoba no annyɛ hwee:", "#Gal 3.18"
"ROM.4.15", "na mbra no twe ebufuw ba, na mbrɛ mbra bi nnyi no, mbrato bi so nnyi hɔ.", ""
"ROM.4.16", "Iyi ntsi na ofi gyedzi mu, ma oeefi adom mu, ma anohoba no eetsim ama asefo no nyina; nnyɛ hɔn a wofi mbra mu nko, na hɔn a wofi Abraham a ɔyɛ hɛn nyina egya no ne gyedzi mu no so,", "#Gal 3.7"
"ROM.4.17", "(dɛ mbrɛ wɔakyerɛw no dɛ, Medze wo bɛyɛ aman pii hɔn egya) wɔ nyia ɔgyee no dzii no enyim, Nyankopɔn a ɔma ewufo nkwa, na ɔfrɛ ndzɛmba a wonnyi hɔ dɛ gyama wɔwɔ hɔ no.", "#Gye 17.5"
"ROM.4.18", "Ɔno a enyidado nnyi no, ɔgyee dzii enyidado mu, ama ɔaayɛ aman pii egya, dɛ mbrɛ wɔaka no dɛ, Dɛm na w'asefo bɛyɛ no.", "#Gye 15.5"
"ROM.4.19", "Na ɔannyɛ gyedzi mu mberɛw annhwɛ ne nyimpadua a ewu no (nna oedzi mfe bɛyɛ ɔha), nye Sara a n'awotoa ewu no;", "#Gye 17.17"
"ROM.4.20", "na ɔhwɛɛ Nyankopɔn anohoba no, ɔammfa ekyingye annyɛ anyanyan, na mbom ɔyɛɛ gyedzi mu ahoɔdzen hyɛɛ Nyankopɔn enyimnyam,", ""
"ROM.4.21", "na ohun ampa dɛ nyia ɔabɔ anohoba no, obotum ayɛ.", ""
"ROM.4.22", "Dɛm ntsi so wobuu no dɛ tsenenee maa no.", ""
"ROM.4.23", "Na nnyɛ no nko bi ntsi na wɔakyerɛw yi dɛ wobui maa no,", ""
"ROM.4.24", "na mbom hɛn so a wobobu ama hɛn dɛ yɛgye nyia onyaan hɛn Ewuradze Jesus fii ewufo mu dzi no ntsi a,", ""
"ROM.4.25", "ɔno na hɛn mfom ntsi woyii no mae, na hɛn abemdzi ntsi wonyaan no.", "#Isa 53.4, 5"
