"ROM.6.1", "Dɛm ntsi afei yɛbɛka dɛn? Ana yɛbɛda ho atsena bɔn mu, ma adom no adɔɔ so anaa?", ""
"ROM.6.2", "Dabida. Ɔbɛyɛ dɛn na hɛn a yewui maa bɔn yɛbɛda ho atsena ase wɔ bɔn mu?", ""
"ROM.6.3", "Ana hom nnyim dɛ hɛn a wonumaa hɛn hyɛɛ Kraest Jesus mu no nyina, wonumaa hɛn hyɛɛ no wu mu?", ""
"ROM.6.4", "Dɛm ntsi wɔnam enuma mu esie yɛnye no wɔ owu mu, ma dɛ mbrɛ wɔnam Egya no n’enyimnyam do nyaan Kraest fii ewufo mu no, dɛmara so na hɛn so yaanantsew nkwa fofor mu.", "#Kol 2.12"
"ROM.6.5", "Na sɛ wɔatsɛw hɛn nye Kraest abɔ mu kor wɔ no wu mu a, nna yɛnam no wusoɛr no do nye no bɔbɔ mu kor so efifir.", ""
"ROM.6.6", "Na yenyim dɛ wɔbɔɔ hɛn nyimpa dadaw no nye no mbeamudua mu, ma bɔn nyimpadua no eewu, amma yaannyɛ bɔn nkowaa bio:", ""
"ROM.6.7", "na nyia oewu no, woebu no bem wɔ bɔn ho.", ""
"ROM.6.8", "Na sɛ yɛnye Kraest wui a, yɛgye dzi dɛ yɛnye no bɛtsena ase so;", ""
"ROM.6.9", "osiandɛ yenyim dɛ Kraest a wonyaan no fii ewufo mu no runnwu bio, owu nndzi no do tum bio.", ""
"ROM.6.10", "Na owu a owui no, owui maa bɔn prɛko, na ase a ɔtse no ɔtse ma Nyankopɔn.", ""
"ROM.6.11", "Dɛmara so na hom mbubu hom ho dɛ hom ewu ama bɔn, na hom tse ase ma Nyankopɔn wɔ Kraest Jesus mu.", ""
"ROM.6.12", "Dɛm ntsi mma hom mma bɔn nndzi hen wɔ hom nyimpadua a obowu no mu, dɛ hom betsie no wɔ n’akɔndɔ mu;", ""
"ROM.6.13", "eso mma hom nngyaa hom nyimpadua mfafakuwa mma bɔn dɛ brakyew edwindadze, na mbom hom mfa homho mma Nyankopɔn dɛ hɔn a woefi ewufo mu tse ase, na hom ngyaa hom nyimpadua mfafakuwa mma Nyankopɔn dɛ tsenenee edwindadze.", ""
"ROM.6.14", "Na bɔn rinndzi hom do tum bio; osiandɛ hom nnyi mbra ase, na mbom hom wɔ adom ase.", ""
"ROM.6.15", "Afei ebɛn asɛm a? Dɛ yennyi mbra ase na yɛwɔ adom ase ntsi, yɛnyɛ bɔn anaa? Dabida.", ""
"ROM.6.16", "Ana hom nnyim dɛ onyia hom egyaa homho ama no dɛ nkowaa dɛ hom betsie no no, sɛ bɔn a ɔdze kɔ owu mu dze o, setsie a ɔdze kɔ tsenenee mu o, ɔno a hom tsie no no no nkowaa nye hom?", ""
"ROM.6.17", "Na ndaase nka Nyankopɔn dɛ nkyɛ hom yɛ bɔn nkowaa, na afei hom fi hom akoma mu ayɛ setsie ama nkyerɛkyerɛ soronko a wɔdze hom hyɛɛ mu no.", ""
"ROM.6.18", "Na woeyi hom efi bɔn no nkowaasom ase, na hom abɛyɛ tsenenee no nkowaa.", ""
"ROM.6.19", "Mekasa wɔ nyimpa afamu wɔ hom honam ne mberɛwyɛ ntsi dɛ, Mbrɛ hom gyaa hom nyimpadua mfafakuwa dɛ nkowaa maa efifidze nye emumuyɛ dze kɔr emumuyɛ mu no, dɛmara na afei hom ngyaa hom nyimpadua mfafakuwa dɛ nkowaa mma tsenenee nkɔ ahotsewee mu.", ""
"ROM.6.20", "Na hom yɛɛ bɔn nkowaa no, hom twee homho fii tsenenee ho.", ""
"ROM.6.21", "Ebɛn aba na hom nyaa no wɔ ber no mu wɔ ndzɛmba a afei ɔyɛ hom fɛr no mu? Na ndzɛmba no n’ewiei nye owu.", ""
"ROM.6.22", "Na afei hom enya hom fahodzi efi bɔn ho, na hom abɛyɛ Nyankopɔn nkowaa yi, hom wɔ hom aba a ɔdze kɔ ahotsewee mu, na n’ewiei nye onnyiewiei nkwa.", ""
"ROM.6.23", "Na bɔn akatua nye owu, na Nyankopɔn n’adom akyɛdze nye onnyiewiei nkwa a ɔwɔ hɛn Ewuradze Kraest Jesus mu.", ""
