"ROM.8.1", "Dɛm ntsi afei afɔbu biara nnyi hɔ ma hɔn a wɔwɔ Kraest Jesus mu no .", "#8.1 Tsetse akyerɛwfo no bi dze ka ho dɛ hɔn a wɔnnantsew honam mu na mbom wɔnantsew sunsum mu no."
"ROM.8.2", "Na Kraest Jesus mu nkwa Sunsum mbra no agye me efi bɔn nye owu mbra no mu.", ""
"ROM.8.3", "Na dza mbra no enntum annyɛ, dɛ ɔnam honam no do yɛ mberɛw ntsi no, Nyankopɔn somaa nankasa ne Ba wɔ bɔn honam suban no mu, wɔ bɔn ntsi, dze buu bɔn fɔ wɔ honam mu,", ""
"ROM.8.4", "ama mbra no n’ahyɛdze no aahyɛ ma wɔ hɛn a yɛnnantsew honam afamu, na mbom yɛnantsew sunsum afamu no mu.", ""
"ROM.8.5", "Na hɔn a wɔtɔ kɔ honam do no dwen honam dze, na hɔn a wɔtɔ kɔ sunsum do no dwen sunsum dze.", ""
"ROM.8.6", "Na honam adwen yɛ owu, na sunsum adwen dze, ɔyɛ nkwa nye asomdwee.", ""
"ROM.8.7", "Osiandɛ honam adwen yɛ Nyankopɔn do mansotwe na ɔmmfa noho nnhyɛ Nyankopɔn mbra no ase, ampa so orunntum;", ""
"ROM.8.8", "na hɔn a wɔwɔ honam mu no runntum nnsɔ Nyankopɔn enyi.", ""
"ROM.8.9", "Na hom dze, hom nnyi honam mu, na mbom hom wɔ sunsum mu, ber a Nyankopɔn no Sunsum tse hom mu no. Na obiara a onnyi Kraest no Sunsum no, ɔnnyɛ nedze.", ""
"ROM.8.10", "Na sɛ Kraest wɔ hom mu a, ɔnam bɔn ntsi nyimpadua no ewu, naaso tsenenee ntsi sunsum no ma nkwa.", ""
"ROM.8.11", "Na sɛ nyia onyaan Jesus fii ewufo mu no no Sunsum tse hom mu a, nyia onyaan Kraest Jesus fii ewufo mu no, nam no Sunsum a ɔtse hom mu no do bɛma hom nyimpadua a owu yi so enya nkwa.", "#1 Kor 3.16"
"ROM.8.12", "Dɛm ntsi afei, enuanom, yɛyɛ akafo, mbom nnyɛ honam afamu na yɛdze kaw bi, dɛ yɛbɛtsena ase wɔ honam mu:", ""
"ROM.8.13", "na sɛ hom tsena ase honam afamu a, hom bowu, na sɛ hom nam sunsum mu ku nyimpadua ne ndzeyɛe dze a, hom bɛtsena ase.", ""
"ROM.8.14", "Na dodow a Nyankopɔn no Sunsum no gye hɔn taataa no, hɔn na wɔyɛ Nyankopɔn mba.", ""
"ROM.8.15", "Na hom ennya nkowaayɛ sunsum a hom dze bosuro bio, na mbom hom enya abayɛ sunsum a yɛnam do tsea mu dɛ, Abba, Egya!", "#Gal 4.5-7 #Mar 14.36; Gal 4.6"
"ROM.8.16", "Na Sunsum nankasa nye hɛn sunsum dzi dase dɛ yɛyɛ Nyankopɔn mba;", ""
"ROM.8.17", "na sɛ yɛyɛ mba a, yɛyɛ adzedzifo so, Nyankopɔn adzedzifo nye Kraest mu anyɛnkoyɛ adzedzifo, na sɛ yɛnye Kraest hu amandze dze a, yebenya kyɛfa so wɔ n’enyimnyam no mu.", ""
"ROM.8.18", "Na mubu dɛ sesei ber yi mu amandzehu no nndu enyimnyam a wɔrebɛda no edzi akyerɛ hɛn no ho koraa.", ""
"ROM.8.19", "Na abɔdze no rotweɔn dzendzenndzen dɛ wɔbɛda Nyankopɔn ne mba edzi.", ""
"ROM.8.20", "Na wɔdze abɔdze no hyɛɛ adze gyan ase, wɔ enyidado mu, nnyɛ nankasa ne pɛ a, na mbom nyia ɔdze hyɛɛ ase no ntsi a.", "#Gye 3.17-19"
"ROM.8.21", "Osiandɛ abɔdze nankasa so wobeyi no mpɔtɔwee nkowaasom no ase akɔ Nyankopɔn mba enyimnyam adehyedzi no mu.", ""
"ROM.8.22", "Na yenyim dɛ abɔdze no nyina si nkrum dɛ ɔbaa a ɔroko awoo bodu ndɛ.", ""
