"ROM.9.1", "Meka no nokwar wɔ Kraest mu, minndzi ator, na me tsibowa so regye me dase wɔ Sunsum Krɔnkrɔn mu,", ""
"ROM.9.2", "dɛ mowɔ awerɛhow kɛse nye yaw a ɔmmbotow wɔ m’akoma mu.", ""
"ROM.9.3", "Na nkyɛ mepɛ dɛ wɔyɛ mara ebusudze fi Kraest ho, ma mo nuanom a wɔyɛ m’ebusuafo wɔ honam afamu:", ""
"ROM.9.4", "na wɔyɛ Israelfo a abayɛ no, nye enyimnyam no, nye ahyɛmu no, nye mbrahyɛ no, nye Nyankopɔn som no, nye anohoba no yɛ hɔndze;", "#Eks 4.22"
"ROM.9.5", "na egyanom no so yɛ hɔndze, na honam afamu so Kraest a ɔyɛ adze nyina do Nyankopɔn a woehyira no daa daa no fi hɔn mu bae no. Amen.", ""
"ROM.9.6", "Na nnyɛ dɛ gyama Nyankopɔn asɛm no ayɛ gyan bi; osiandɛ nnyɛ hɔn a wofi Israel mu nyina nye Israelfo;", ""
"ROM.9.7", "na eso nnyɛ dɛ wɔyɛ Abraham asefo ntsi na hɔn nyina yɛ mba, na mbom, Isaak mu na wɔbɛfrɛ w’asefo.", "#Gye 21.12"
"ROM.9.8", "Ɔno nye dɛ nnyɛ honam mu mba na wɔyɛ Nyankopɔn mba, na mbom anohoba mba no na wobu hɔn n’asefo.", ""
"ROM.9.9", "Na anohoba no ɔnye asɛm yi, Afedan sisei mebɛba no, nna Sara enya ba.", "#Gye 18.10"
"ROM.9.10", "Na nnyɛ dɛm nko, na Rebeka so nye ɔbaako no a ɔno nye hɛn egya Isaak nyinsenii,", ""
"ROM.9.11", "na wonnyae nnwoo mba no, na wonnyae nnyɛɛ papa anaa bɔn no, mbrɛ ɔbɛyɛ ma Nyankopɔn ne nsanmuyi tsirmpɔw no begyina, na eemmfi ndwuma mu na mbom eefi nyia ɔfrɛ no ntsi no,", ""
"ROM.9.12", "wɔsee no dɛ, Ɔpanyin no bɔsom ekumaba no,", "#Gye 25.23"
"ROM.9.13", "dɛ mbrɛ wɔakyerɛw dɛ, Jakob na modɔɔ no, na Esau dze, metaan no.", "#Mal 1.2, 3"
"ROM.9.14", "Dɛm a afei yɛbɛka dɛn? Ana Nyankopɔn ayɛ ayɛmpamu, anaa ɔnntsen? Oho, ɔnntse dɛm da!", ""
"ROM.9.15", "Na ɔkaa kyerɛ Moses dɛ, Nyia muhu no mbɔbɔr ara na mubohu no mbɔbɔr, na nyia me yamu hyehye me ma no ara na me yamu bɛhyehye me ama no.", ""
"ROM.9.16", "Ntsi, ommfi nyia ɔpɛ, anaa nyia otutu mbirika, na ofi Nyankopɔn a ohu mbɔbɔr no.", ""
"ROM.9.17", "Na kyerɛw no se Farao dɛ, Iyi ntsi na memaa wo do, dɛ mibeyi mo tum edzi wɔ wo mu, ama wɔaabɔ me dzin wɔ asaase nyina do.", "#Eks 9.16"
"ROM.9.18", "Dɛm ntsi nyia ɔpɛ na ohu no mbɔbɔr, na nyia ɔpɛ na opirim n’akoma.", ""
"ROM.9.19", "Na bi a ibebisa me dɛ, Dɛm a nna ɔyɛ dɛn na ɔda ho ara hu mfom wɔ nyimpa ho? Woana botum esiw ne pɛ kwan?", ""
"ROM.9.20", "Ao, nyimpa, woana nye wo na enye Nyankopɔn yiyi nsɛm ano? Ana awendze bɛse ɔwemfo dɛ, Ɔyɛ dɛn na eyɛɛ me dɛm?", "#Isa 29.16; 45.9"
"ROM.9.21", "Ana senaba wemfo nnyi dɛtse do tum dɛ ɔdze dɛtsetɔw kor noara bi wen kɔɔpow a ɔsom bo, na ɔdze bi so wen kor so a ɔnnsom bo?", ""
"ROM.9.22", "Na dɛ Nyankopɔn repɛ akyerɛ n’ebufuw, na oeyi no tum edzi ntsi, ɔdze abotar pii peen nkorɔfo a woeyi no ebufuw a woesiesie hɔn ama ɔsɛɛ no;", ""
"ROM.9.23", "na sɛ ɔpɛ dɛ ɔbɛma woehu n’enyimnyam ahonya no so wɔ mbɔbɔrhu a oesiesie ama hɔn a oesiesie ama enyimnyam no so a, yɛbɛka dɛn?", ""
"ROM.9.24", "Mekyerɛ hɛn a wɔafrɛ hɛn, nnyɛ Jewfo nko, na amanamamfo so bi ka ho.", ""
"ROM.9.25", "Dɛ mbrɛ ɔka so wɔ Hosea mu dɛ, Mebɛfrɛ dza ɔnnyɛ me man, me man, Na nyia ɔnnyɛ mo dɔfo no, mo dɔfo.", "#Hos 2.23"
"ROM.9.26", "Na ɔbɛba, dɛ, hɔn a wɔsee hɔn dɛ, Hom nnyɛ me man no, Hɔn na wɔbɛfrɛ hɔn Nyankopɔn tseasefo no mba.", "#Hos 1.10"
"ROM.9.27", "Na Isaia so tsea mu wɔ Israel ho dɛ, Sɛ Israelmba dodow tse dɛ mpoano anhwea mpo a, kakraabi na wɔbɛgye hɔn nkwa.", "#Isa 10.22, 23"
"ROM.9.28", "Na n’asɛm no ne nwiei nye ne tsiatwa ntsi, Ewuradze bɛyɛ iyi wɔ asaase do.", ""
"ROM.9.29", "Na dɛ mbrɛ Isaia kae too hɔ dɛ, Sɛ Dɔm Ewuradze enngya hɛn asefo a, Nkyɛ yɛayɛ dɛ Sodom, na wɔama yɛayɛ dɛ Gomora.", "#Isa 1.9"
"ROM.9.30", "Ebɛn asɛm na afei yɛbɛka? Dɛ amanamamfo a woenntsiw tsenenee no nsa aka tsenenee a ɔyɛ tsenenee a ofi gyedzi mu;", ""
"ROM.9.31", "na Israel a otsiiw tsenenee mbra no enndu tsenenee mbra no ho.", ""
"ROM.9.32", "Ebɛnadze ntsi a? Osiandɛ woenndua gyedzi do, na dɛ gyama ofir ndwuma mu. Wofintsiiw fintsiw bo no do,", ""
"ROM.9.33", "dɛ mbrɛ wɔakyerɛw no dɛ, Hwɛ, moroto fintsiwbo bi wɔ Zion, ɔbotan a ɔbɛma nkorɔfo ahwe ase: Na nyia ɔbɛgye no edzi no, n’enyim nnkogu ase.", ""
