"ROM.12.1", "Dɛm ntsi, enuanom, menam Nyankopɔn n'ehumbɔbɔr do serɛ hom dɛ hom ntu hom nyimpadua nsi hɔ dɛ enyikan afɔrbɔdze krɔnkrɔn a ɔsɔ Nyankopɔn enyi a ɔyɛ hom som a ntseasee wɔ mu no.", ""
"ROM.12.2", "Na mma hom nnyɛ hom ho dɛ wiadze yi: na mbom hom ndua hom adwen foforyɛ mu nsakyer, ama hom aasɔ Nyankopɔn pɛ no a oye na ɔsɔ enyi na odzi mu no ahwɛ.", ""
"ROM.12.3", "Na menam adom a wɔdze adom me no do meka kyerɛ hom mu nyimpa biara dɛ mma ɔnndwen nntra dza ɔsɛ dɛ ɔdwen, na mbom ɔndwen enyidahɔ adwen, dɛ mbrɛ Nyankopɔn akyɛ gyedzi nsusui ama obiara no.", ""
"ROM.12.4", "Na dɛ mbrɛ yɛwɔ nyimpadua kor yi mu mfafakuwa pii, na mfafakuwa no nyina nndzi dwuma kor no,", "#1 Kor 12.12"
"ROM.12.5", "dɛmara so na hɛn a yɛdɔɔ so yi, yɛyɛ nyimpadua kor wɔ Kraest mu, na yɛyɛ mfafakuwa ma hɛnho nkorkor.", ""
"ROM.12.6", "Na yɛwowɔ adom akyɛdze a ɔsosoree dɛ mbrɛ adom a wɔdze adom hɛn no tse no. Sɛ nkɔnhyɛ a, hom mma yɛnhyɛ nkɔm dɛ mbrɛ hɛn gyedzi nsusui pa tse;", "#1 Kor 12.4-11"
"ROM.12.7", "sɛ ɔsom a, yensuo hɛn som no mu dzen, ɔkyerɛkyerɛfo nyɛ ne nkyerɛkyerɛ no yie,", ""
"ROM.12.8", "nyia otu fo nkɔ do mma afotu, nyia ɔkyɛ adze mfa akomamutsewee nkyɛ, nyia odzi panyin, ɔmbɔ mbɔdzen wɔ mu, nyia ohu mbɔbɔr, mfa enyimtsewee nyɛ.", ""
"ROM.12.9", "Mma hom mmfa ndabraba mfora ɔdɔ mu. Hom nkyir dza omuo na hom ntakyer dza oye ho.", ""
"ROM.12.10", "Enuadɔ mu a, hom ndodɔ homho yie nkorkor; enyidzi mu a, hom ndzi kan ndzidzi homho nyi;", ""
"ROM.12.11", "mbɔdzembɔ mu a, mma hom nnyɛ nyaa nyaa wɔ mu; hom nyɛ sunsum mu hyew; hom nsom Ewuradze.", ""
"ROM.12.12", "Hom ndzi dɛw wɔ enyidado mu; sɛ hom kɔ ahohia mu a, hom nya ho abotar; hom nkɔ do araa mbɔ mpaa;", ""
"ROM.12.13", "hom mboa ahotseweefo a wɔwɔ hia mu; hom ngye ahɔho.", ""
"ROM.12.14", "Hom nhyira hɔn a wɔtseetsee hom ho: hom nhyira na mma hom nndom.", "#Mat 5.44; Luk 6.28"
"ROM.12.15", "Hom nye hɔn a wodzi dɛw ndzi dɛw; hom nye hɔn a wosu nsu.", ""
"ROM.12.16", "Hom nyina nye homho homho ntsena ntseasee mu. Mma hom mmema hom ho do, na mbom hom mbrɛ homho adze mma hɔn a wɔdwe. Mma hom mmbu homho enyansafo mbordo.", "#Mbɛ 3.7"
"ROM.12.17", "Mma hom mmfa bɔn nntua obiara bɔn kaw. Hom ndwen dza ɔyɛ enyidzi wɔ nyimpa nyina enyim.", ""
"ROM.12.18", "Sɛ ɔbɛyɛ a, hom afamu dze, hom nye nyimpa nyina ntsena asomdwee mu.", ""
"ROM.12.19", "Adɔfo, mma hom nndzidzi homho wer, na mbom hom ngyaa biribiara nhyɛ Nyankopɔn n'ebufuw nsa: osiandɛ wɔakyerɛw no dɛ, Awerdzi dzi wɔ me: emi na mubotua kaw, Ewuradze na ɔse.", "#Deut 32.35"
"ROM.12.20", "Dɛm ntsi sɛ kɔm dze wo tamfo a, ma no edziban; sɛ nsukɔm dze no a, ma no biribi ma ɔnnom: osiandɛ sɛ eyɛ dɛm a, ebɔboaboa gyansenama ano egu n'etsifi.", "#Mbɛ 25.21, 22"
"ROM.12.21", "Mma bɔn nndzi hom do nyim, na mbom hom mfa papa ndzi nyim wɔ bɔn do.", ""
