"ROM.16.1", "Mekamfo hɛn akyerɛbaa Foebe a ɔyɛ Kenkreaen asɔr mu ɔsomfo no kyerɛ hom,", ""
"ROM.16.2", "dɛ hom ngye no Ewuradze mu dɛ mbrɛ ɔfata ahotseweefo, na hom mboa no wɔ biribiara a obehia efi hom hɔ no mu: na nankasa so ayɛ ɔboafo ama nyimpa pii, nye mara so.", ""
"ROM.16.3", "Hom nkyia Priska nye Akwila, m’anyɛnkofo edwumayɛfo wɔ Kraest Jesus mu a", "#Ndwu 18.2"
"ROM.16.4", "mo nkwa ntsi wɔdze hɔnankasa hɔn nkwa kitsaa hɔn nsamu no: na nnyɛ mo nko na meda hɔn ase, na mbom asɔr a wɔwɔ amanaman do nyina so;", ""
"ROM.16.5", "na hom nkyia asɔr a ɔwɔ hɔn fie no so. Hom nkyia mo dɔfo Epaenetus a ɔyɛ nyia a ofi Asia a odzii kan yɛɛ Kraest dze no.", ""
"ROM.16.6", "Hom nkyia Mary a ɔbɔɔ mbɔdzen pii maa hom no.", ""
"ROM.16.7", "Hom nkyia Andronikus nye Junias, m’ebusuafo nye m’anyɛnkofo a menye hɔn ada efiadze a wɔwɔ dzin wɔ asomafo no mu, na eso wodzii m’enyim kan wɔ Kraest mu no.", ""
"ROM.16.8", "Hom nkyia Ewuradze mu mo dɔfo Ampliatus mma me.", ""
"ROM.16.9", "Hom nkyia Urbanus, hɛn nyɛnko dwumayɛnyi wɔ Kraest mu, nye mo dɔfo Stakis.", ""
"ROM.16.10", "Hom nkyia Apeles a wɔasɔ no ahwɛ wɔ Kraest mu no. Hom nkyia hɔn a wofi Aristobulus fidua mu no.", ""
"ROM.16.11", "Hom nkyia mo busuanyi Herodion. Hom nkyia hɔn a wofi Narsisus fidua mu a wɔwɔ Ewuradze mu no.", ""
"ROM.16.12", "Hom nkyia Trifaena nye Trifosa a wɔbɔ Ewuradze mu mbɔdzen no. Hom nkyia ɔdɔfo Persis a ɔbɔɔ Ewuradze mu mbɔdzen pii no.", ""
"ROM.16.13", "Hom nkyia Rufus a wɔasan mu eyi no Ewuradze mu no, ɔnye ɔno na emi hɛn na no.", "#Mar 15.21"
"ROM.16.14", "Hom nkyia Asinkritus, Flegon, Hermes, Patrobas, Hermas, nye enuanom a wɔka hɔn ho no.", ""
"ROM.16.15", "Hom nkyia Filologus nye Julia, Nereus nye n’akyerɛbaa, nye Olimpas, nye ahotseweefo a wɔka hɔn ho no nyina.", ""
"ROM.16.16", "Hom mfa mfewano krɔnkrɔn nkyiakyia homho nkorkor. Kraest asɔrasɔr nyina kyiakyia hom.", ""
"ROM.16.17", "Na afei, enuanom, meserɛ hom dɛ, hɔn a wɔdze mpaapaamu ba na wɔto fintsidua a otsia nkyerɛkyerɛ a hom esua no, hom nhyɛ hɔn nsew, na hom ntwe homho mfi hɔn ho.", ""
"ROM.16.18", "Na hɔn a wɔtse dɛm no wɔnnsom hɛn Ewuradze Kraest, na mbom hɔnankasa hɔn yafun a, na wɔdze tɛkyerɛmadɛw nye adɔkɔdɔkɔsɛm daadaa hɔn a wonnyim hwee no.", ""
"ROM.16.19", "Na hom dze, hom setsie atahye edu nyimpa nyina asomu. Iyi ntsi midzi hom ho dɛw, naaso mepɛ dɛ hom yɛ enyansafo wɔ papa ho, na hom twe hom ho koraa fi bɔn ho.", ""
"ROM.16.20", "Na asomdwee Nyankopɔn bodwuruw Satan wɔ hom ananadze ntsɛmara. Hɛn Ewuradze Jesus Kraest adom nka hom.", ""
"ROM.16.21", "Me nyɛnko dwumayɛnyi Timoti kyia hom; nye m’ebusuafo Lusius nye Jason nye Sosipater.", "#Ndwu 16.1"
"ROM.16.22", "Emi Tertius a mekyerɛw nwoma yi, mikyia hom Ewuradze mu.", ""
"ROM.16.23", "Gaius a ɔsom me nye asɔrmba nyina hɔho no kyia hom. Erastus a ɔyɛ kurow yi mu sikakorafo no ɔnye no nua Kwartus kyia hom.", "#Ndwu 19.29; 1 Kor 1.14; 2 Tim 4.20"
"ROM.16.24", "[Hɛn Ewuradze Jesus Kraest adom nye hom nyina ntsena. Amen.]", ""
"ROM.16.25", "Na afei, nyia otum dɛ ɔhyɛ hom dzen, dɛ mbrɛ m’asɛmpa nye Jesus Kraest ho asɛnka tse, dɛ mbrɛ esumasɛm nyikyerɛ a wofi tsetse esie no foo no,", ""
"ROM.16.26", "na afei dze woeyi no edzi, na ɔnam nkɔnhyɛfo kyerɛwnsɛm no do, dɛ mbrɛ onnyiewiei Nyankopɔn ne mbrasɛm tse no, woyi kyerɛ amanaman nyina kɔ gyedzi setsie mu,", ""
"ROM.16.27", "Nyankopɔn a ɔno nkotsee nye nyansafo no, ɔno na enyimnyam ndua Jesus Kraest do nka no afebɔɔ. Amen.", ""
