"RUT.3.1", "Na n’asew Naomi see no dɛ, Me babaa, ana monnkɔhwehwɛ ahomgye ama wo, ma eesi wo yie?", ""
"RUT.3.2", "Na afei ana hɛn busuanyi Boaz a ekɔr ne mbaawa nkyɛn no nnyi hɔ bi a? Hwɛ, oruhuw atoko do anadwe yi wɔ ewuporowee.", ""
"RUT.3.3", "Dɛm ntsi hohor woho, na sera, na fa w’atar hyɛ, na sian kɔ ewuporowee hɔ: na mma nnyi woho nnkyerɛ banyin no araa ma onwie edzidzi na ɔnnom ansaana.", ""
"RUT.3.4", "Na ɔmbra dɛ, sɛ ɔkɛda a, ahyɛ beebi mbrɛ ɔbɔkɔ akɛda no nsew, na akɔ hɔ, na ekeyi n’anaafo tam, na ada hɔ; na ɔnoara bɛka dza yɛ akyerɛ wo.", ""
"RUT.3.5", "Na Rut see no dɛ, Dza ese me nyinara mebɛyɛ.", ""
"RUT.3.6", "Na osii mu kɔr ewuporowee no, na ɔkɛyɛɛ dɛ mbrɛ n’asew hyɛɛ no no nyinara.", ""
"RUT.3.7", "Na Boaz dzidzii na ɔnomee, na n’akoma tɔɔ ne yamu no, osii mu kɔree kɛdaa eburow kuw no ano hɔ: na Rut tsiaa dɔn dɔn bae, na obeyii n’anaafo tam, na ɔdaa hɔ.", ""
"RUT.3.8", "Na ɔbaa dɛ esuom no, Boaz no bɔɔ pikyiw, na otwaa adafa: na, hwɛ, ɔbaa bi da n’anaafo.", ""
"RUT.3.9", "Na obisaa dɛ, Woana nye wo? Na obuaa dɛ, Mara w’abaawa Rut a: dɛm ntsi tserɛw wo nsiase mu fa kata w’abaawa do; osiandɛ obusuanyi a ɔbɛn nye wo.", ""
"RUT.3.10", "Na Boaz see dɛ, Me babaa, EWURADZE nhyira wo: ekyir yi akyerɛ ayamuyie dodow asen ahyɛse no, susuampa dɛ annka mberantsɛ do, ehiafo o, ebirɛmpɔmfo o.", ""
"RUT.3.11", "Na afei, me babaa, mma nnsuro; dza ese nyinara mebɛyɛ ama wo osiandɛ mo nkorɔfo a wɔfa kuropon ano nyinara nyim dɛ ɔbaa pa nye wo.", ""
"RUT.3.12", "Na afei ɔyɛ nokwar dɛ obusuanyi a ɔbɛn nye me: naaso obusuanyi bi a ɔbɛn dodow sen me wɔ hɔ.", ""
"RUT.3.13", "Tsintsim anadwe yi, ondu anapa, na ɔba dɛ sɛ ɔyɛ obusuanyi afamudze dze ma wo a, oye; ma ɔnyɛ obusuanyi afamudze no: na sɛ ɔnnkɛpɛ dɛ ɔyɛ obusuanyi afamudze dze ma wo a, ɔnodze, dɛ EWURADZE tse ase yi, mara mebɛyɛ obusuanyi afamudze dze ama wo: da ma adze nkye ana.", ""
"RUT.3.14", "Na ɔdaa n’anaafo hɔ ma adze kyee: na ɔsoɛree ansaana obi rutum hu ne nyɛnko yie, osiandɛ Boaz see dɛ, Mma wonnhu dɛ ɔbaa no baa ewuporowee no do.", ""
"RUT.3.15", "Na ɔsee Rut dɛ, Fa akatakɔnmu no a ogu wo do no bra, na suo mu; na osuoo mu: na osusuu atoko etwadze esia, na ɔdze soaa no: na Rut sii mu kɔr kurow no mu.", ""
"RUT.3.16", "Na ɔbaa n’asew nkyɛn no obisaa no dɛ, Okesii wo dɛn, me babaa? Na ɔkaa dza banyin no yɛɛ no nyinara kyerɛɛ no.", ""
"RUT.3.17", "Na ɔsee dɛ, Atoko etwadze esia yi na ɔdze maa me; na ɔsee dɛ, Mma mmfa nsapan nnkɔ w’asew nkyɛn.", ""
"RUT.3.18", "Nna Naomi see dɛ, Me babaa tsena hɔ dzinn, na hu mbrɛ asɛm no besi ana: na banyin no renngye n’ahom araa gyedɛ oewie asɛm no dzi ndɛ da yi.", ""
