"SNG.1.1", "Ndwom mu ndwom a ɔyɛ Solomon dze.", ""
"SNG.1.2", "Ao, nkyɛ edze w'ano afew m'ano: Osiandɛ wo dɔ ye sen nsa.", ""
"SNG.1.3", "Wo seradze yɛ huam papa; Wo ho nka tse dɛ eduhuam a woehue egu; Dɛm ntsi na mbaabun dɔ wo no.", ""
"SNG.1.4", "Twe me; ma yɛnyɛ no ntsɛm nkɔ: Ɔhen dze me aba ne mpia mu: Yebedzi ehurusi na hɛn enyi agye, Mobɔbɔ wo dɔ dzin asen nsa: Ɔnnyɛ hu dɛ mbaabun dɔ wo.", ""
"SNG.1.5", "Mibir dze, naaso mo ho yɛ fɛw, Jerusalɛm mbabaa e, Tse dɛ Kedar asese, Na dɛ mbrɛ Solomon nkatahotam tse.", ""
"SNG.1.6", "Mma nnhwɛ me dɛ mibir, osiandɛ ewia ahyew me ntsi. Emi na mbabanyin bo fuuw me, Wɔdze me yɛɛ wenyin nture mu ɔhwɛfo; Na mbom mankasa mo wenyin ture no dze mannhwɛ.", ""
"SNG.1.7", "Ɔwo a me kra dɔ wo, ka kyerɛ me, Henfa na enyɛn wo nguan, henfa na ema wɔhom ewiaber? Na ɔyɛ dɛn ntsi na menyɛ dɛ nyia wɔakata n'enyim Wɔ w'anyɛnkofo hɔn nguankuw nkyɛn?", ""
"SNG.1.8", "Ao, mbaa mu ɔhoɔfɛfo, sɛ ɔwo innyim a, Kɔ, ketsin nguankuw anamɔn no do, Na nyɛn wo nguambaa wɔ nguanhwɛfo ntamadan no nkyɛn.", ""
"SNG.1.9", "M'adamfowa e, medze wo ato Farao ne ntseaseanam ɔpɔnkɔ ho.", ""
"SNG.1.10", "W'afon yɛ fɛw wɔ tsidwow mu, Wo kɔn yɛ fɛw wɔ ntweaban mu.", ""
"SNG.1.11", "Yɛbɛyɛ sika edwindzi ndwowee ama wo a, dwetɛ sisi mu.", ""
"SNG.1.12", "Aber a ɔhen tse no pon ho no, Nna me seradzehuam ayɛ huatsee.", ""
"SNG.1.13", "Mo dɔfo yɛ eduhuam mɛɛr siaw dze ma me, Ɔda m'enumfo ntamu.", ""
"SNG.1.14", "Mo dɔfo tse dɛ nhyiren siaw dze ma me Wɔ Engedi wenyin nture mu.", ""
"SNG.1.15", "Hwɛ, mo dɔfo, wo ho yɛ fɛw; wo ho yɛ fɛw ae; W'enyiwamba tse dɛ ebubur dze.", ""
"SNG.1.16", "Hwɛ, mo dɔfo, wo ho yɛ fɛw, nyew, wo ho yɛ akɔndɔ: Hɛn dabew so yɛ efuw momon.", ""
"SNG.1.17", "Hɛn dan no mpuna yɛ nkyindur ndua, Na hɛn mpar so yɛ pepeaa.", ""
