"SNG.2.1", "Emi dze, meyɛ Saron nhyiren, Mbɔnsa mu esukookoo.", ""
"SNG.2.2", "Mbrɛ esukookoo tse wɔ nsoɛ mu no, Dɛmara so na mo dɔfo tse wɔ mbabaa mu.", ""
"SNG.2.3", "Dɛ mbrɛ aperdua tse wɔ haban mu ndua mu no, Dɛmara so na mo dɔfo tse wɔ mbabanyin mu. Medze enyigye kɛse tsenaa no nwinwin ase, Na no nduadzewa yɛɛ m’anomu dɔkɔdɔkɔ.", ""
"SNG.2.4", "Ɔdze me baa aponto ase, Na ne frankaa a osi mo do yɛ ɔdɔ.", ""
"SNG.2.5", "Hom mfa esikyireamba nsianka me, hom mfa aper nkyekye mo werɛ: Osiandɛ ɔdɔ yarba akyer me.", ""
"SNG.2.6", "N’abankum da me tsiadze, Na n’abanyimfa abra me.", ""
"SNG.2.7", "Jerusalɛm mbabaa e, hom nka ntam nkyerɛ me Hom mfa nwansan, na ɔtweba a wɔwɔ hamu nka ntam, Dɛ hom nnkopusuw hɛn dɔ, anaa wonnkenyan no, Gyedɛ noara ɔpɛ.", ""
"SNG.2.8", "Mo dɔfo ne ndze nye no! Hwɛ, ɔreba, Oruhuruhuruw mbepɔw do, ɔrobɔ nkoko do mpentsenkwa.", ""
"SNG.2.9", "Mo dɔfo tse dɛ ɔwansan anaadɛ ɔtweba: Hwɛ, ogyina hɛn fasu ekyir, Ɔhwɛ ntokura mu, Onyinam noho wɔ atenatokura mu.", ""
"SNG.2.10", "Mo dɔfo kasae na ɔsee me dɛ, Soɛr, mo dɔfo, me yima, na bra ɛ.", ""
"SNG.2.11", "Na, hwɛ, awɔwber etwa mu, Esusow atsew na ɔkɔ;", ""
"SNG.2.12", "Nhyiren efifir asaase do; Nnoma adwontober edu, Wɔtse atamram nka wɔ hɛn asaase do;", ""
"SNG.2.13", "Adɔmbadua n’aba ebun ebun reber, Na wenyinndua robɔ nhyiren, Woriyi hɔn huam. M’adamfowa e, me yima e, soɛr na bra ɛ.", ""
"SNG.2.14", "Ao m’ebubur, ɔwo a ewɔ ɔbotan ne mpaae mu, wɔ bea sorɔnsorɔm no n’ehuntsae mu, Ma munhu w’enyim, ma mentse wo ndze; Na wo ndze yɛ dɛw, na wo ho yɛ fɛw.", ""
"SNG.2.15", "Hom nkyekyer nsɔ no mma hɛn, nsɔ nkakraba a wɔsɛɛ wenyin nture no; Na hɛn wenyin nture no abobɔ nhyiren.", ""
"SNG.2.16", "Mo dɔfo yɛ medze, na meyɛ nedze: Ɔnyɛn no nguan wɔ nsukookoo mu.", ""
"SNG.2.17", "Mo dɔfo, san w’ekyir, na yɛ dɛ ɔwansan anaadɛ ɔtweba a Ɔwɔ Bɛɛta mbepɔw do, Ma onkodu dɛ wi ano bɔdwe, na sunsuma bɛsen akɔ.", ""
