"SNG.3.1", "Me mpa do anadwe na mohwehwɛɛ nyia me kra dɔɔ no no: Mohwehwɛɛ no, naaso mennhu no.", ""
"SNG.3.2", "Mesee dɛ, Afei mobɔsoɛr, na mekekyin kurow no ho, Wɔ abrɔn mu na gua do, Mobɔhwehwɛ nyia me kra dɔ no no: Mohwehwɛɛ no, naaso mennhu no.", ""
"SNG.3.3", "Aweɔmfo a wokyin kurow no ho no hun me: Hɔn na mibisaa hɔn dɛ, Ana hom ehu nyia me kra dɔ no no?", ""
"SNG.3.4", "Mepaa hɔn ho kakra ara pɛr, Nna muhun nyia me kra dɔ no no: Musuoo no mu dɛ minnkegyaa no ma ɔaakɔ, Ekodu dɛ medze no bodu me na fie, Na nyia onyinseen me no ne pia mu ana.", ""
"SNG.3.5", "Jerusalɛm mbabaa e, hom nka ntam nkyerɛ me Hom mfa nwansan na ɔtweba a wɔwɔ hamu nka ntam, Dɛ hom nnkopusuw hɛn dɔ, anaa wonnkenyan no, Gyedɛ noara ɔpɛ.", ""
"SNG.3.6", "Woana nye oyi a ofi sar do reba dɛ wusiw fadum, A mɛɛr na krɔbɔw, Na oguadzifo nduhuam ayɛ no ho huatsee yi?", ""
"SNG.3.7", "Hwɛ, Solomon n’apakan a; Mbarimba akatakyi eduosia na woetwa ho ehyia, Israel mbarimba akatakyi no mu bi a.", ""
"SNG.3.8", "Hɔn nyinara wɔdzedze mfona, na wɔawea asayɛ ho: Nyimpa biara n’afona bɔ n’asen, Wɔ anadwe mu ɔhaw ntsi.", ""
"SNG.3.9", "Ɔhen Solomon yɛɛ apakan maa noho, Ɔdze Lebanon ndua yɛe.", ""
"SNG.3.10", "Ɔdze dwetɛ yɛɛ ne fadum no, N’ase no so sika a, n’egua no ɔberdum a; Jerusalɛm mbabaa dze anwendze a ɔyɛ fɛw Edura no mu no.", ""
"SNG.3.11", "Zion mbabaa e, hom mpue mbɔhwɛ ɔhen Solomon a Ɔbɔ n’abɔtsir a ne na dze bɔɔ ne tsir wɔ n’ayehyia da, Da a n’akoma nyaa enyigye no.", ""
