"SNG.7.1", "Ao ɔhen ne babaa, mbrɛ wo mpaboa, mu anamɔntutu dua yɛ fɛw a! W'aserɛ no ntoado tse dɛ edwindzi a Odwimfo pa ne nsa ayɛ.", ""
"SNG.7.2", "Wo funuma tse dɛ kɔɔpow korkorba a Nsa mforaforae mmpa mu: Wo yafun tse dɛ ewifua kuw a Wɔdze nsukookoo abɔ ho aprɔw.", ""
"SNG.7.3", "W'enumfo ebien tsetse dɛ wansanmba beenu a Wɔyɛ ntafo.", ""
"SNG.7.4", "Wo kɔndua tse dɛ asombɛn abantsentsen; W'enyiwamba tse dɛ Hesbon nsutaae a ɔwɔ Bath-rabbim ɔponkɛse ho; Wo hwen tse dɛ Lebanon abantsentsen a Odzi kɔ Damaskɔs afamu no.", ""
"SNG.7.5", "Wo tsir a ɔso wo tse dɛ Karmel, Na wo tsir do nhwi tse dɛ adaaben; No do ataku akyer ɔhen no ndɔmmum.", ""
"SNG.7.6", "Mbrɛ wo ho dua yɛ fɛw na mbrɛ eyɛ enyisɔ, Ao mo dɔfo, wɔ enyigye enyigye mu a!", ""
"SNG.7.7", "Wo pankor yi tse dɛ abɛdua, Na w'enumfo tse dɛ esikyireamba siawsiaw.", ""
"SNG.7.8", "Meka dɛ, Mobɔfow abɛdua no, Mebɛtam esuo n'abaw no mu: Ma w'enumfo nyɛ dɛ wenyinamba siawsiaw, Na wo hwen mu hua nyɛ dɛ aper;", ""
"SNG.7.9", "Na w'anomu tse dɛ nsa pa a Osian kɔ mo dɔfo yie, Ɔma hɔn a wɔatotɔ nkom buebue hɔn ano.", ""
"SNG.7.10", "Meyɛ mo dɔfo nedze, Na n'akɔndɔ gyina mo do.", ""
"SNG.7.11", "Mo dɔfo e, bra ma yemfir edzi nkɔ haban mu; Ma yɛnkɛtsena nkurobaadze.", ""
"SNG.7.12", "Ma yɛnsoɛr ahanamakye nkɔ we nyin nture mu; Ma yɛnkɔhwɛ dɛ wenyindua no abɔ nkukuduuduw, na ne nhyiren epuepue, Na pɔmegranate ekutu no abɔ nhyiren a: Hɔ na mibeyi mo dɔ ama wo.", ""
"SNG.7.13", "Eduaba mandreke no riyi huam, Na hɛn mbobowano ahyɛ nduaba horow nyinara a wɔsom bo ma, afofor na adadaw a Medze esie ama wo, ao mo dɔfo.", ""
