"TIT.2.1", "Na ɔwo dze, ka nsɛm a ɔfata nkyerɛkyerɛ a odzi mu no:", ""
"TIT.2.2", "dɛ nkɔdaa nyɛ enyidahɔ nyɛ fɔntɔmm, hɔn adwen mu ntsew, ndzi mu wɔ gyedzi mu, ɔdɔ mu, nye abotar mu:", ""
"TIT.2.3", "dɛ mberwa so ndzi hɔnho nyi wɔ ndzeyɛɛ mu, mma wɔnnyɛ anokumfo, nnyɛ nsahweam, mbom wɔnkyerɛkyerɛ edwuma pa;", ""
"TIT.2.4", "ama wɔaatsetse mbabaawa ma wɔaadɔ hɔn kunnom, wɔaadɔ hɔn mba,", ""
"TIT.2.5", "na wɔaayɛ adwenmutseweefo, ahwɛ hɔnho yie, fieadzeyɛfo, ayamuyiefo, abrɛ hɔnho adze ama hɔnankasa hɔn kunnom, amma wɔaannkasa enntsia Nyankopɔn n'asɛm.", ""
"TIT.2.6", "Dɛmara na mberantsɛ no so tu hɔn fo ma wɔnyɛ adwenmutseweefo:", ""
"TIT.2.7", "adze nyina mu da woho edzi dɛ eyɛ ndwuma pa ho mfatoho; nkyerɛkyerɛ mu pefeeyɛ, fɔntɔmmyɛ,", ""
"TIT.2.8", "ɔkasa a odzi mu a wonnya ho asɛm bi nnka, ama nyia otsia hɛn no aafɛr dɛ onnya asɛm bɔn bi nnka.", ""
"TIT.2.9", "Nkowaa nyɛ setsie mma hɔnankasa hɔn wuranom, wɔnsɔ hɔn enyi wɔ adze nyina mu, mma wonnyiyi hɔn asɛm ano;", ""
"TIT.2.10", "mma wonnwiawia adze, na mbom wɔnkyerɛ nokwardzi pa nyina, ama wɔdze aakorɔn Nyankopɔn hɛn Agyenkwa ne nkyerɛkyerɛ no wɔ adze nyina mu.", ""
"TIT.2.11", "Na Nyankopɔn adom a ɔdze nkwagye brɛ nyimpa nyina eyi noho edzi,", ""
"TIT.2.12", "ɔtsetse hɛn dɛ yɛmpow mbusubɔ nye wiadze akɔndɔ, na yɛmfa enyidado, nye tsenenee, nye nyamesompa ntsena sesei wiadze yi mu,", ""
"TIT.2.13", "nhwɛ nhyira enyidado no, nye hɛn Nyankopɔn kɛse, hɛn Agyenkwa Jesus Kraest n'enyimnyam mbae no kwan.", ""
"TIT.2.14", "Ɔno a ɔdze noho mae maa hɛn, ama ɔaapon hɛn efi emumuyɛ nyina mu, na ɔaatsew ɔman a ɔyɛ nankasa nedze a ɔbɔ ndwuma papa ho mbɔdzen no ho.", ""
"TIT.2.15", "Iyinom na fa tum nyina ka, tu ho fo, na ka ho enyim. Mma obi mmbu wo enyimtsia.", ""
