"ZEC.2.1", "Na memaa m'enyi do mohwɛe, na muhun nyimpa a susuhoma kitsa ne nsamu.", ""
"ZEC.2.2", "Nna mibisaa no dɛ, Erokɔ hen? Na ɔsee me dɛ, Murukosusu Jerusalɛm mahwɛ ne tɛtɛr, na ne tsentsen.", ""
"ZEC.2.3", "Na, hwɛ, ɔbɔfo a ɔnye me kasae no fiir edzi, na ɔbɔfo fofor fiir edzi kehyiaa no,", ""
"ZEC.2.4", "na ɔsee no dɛ, Tutu mbirika, kɛka kyerɛ aberantsɛ yi, dɛ, Jerusalɛm wɔbɛtsena mu dɛ nkuroba a wonnyi afasu, ɔnam nyimpa na anyɛmbowa dodow a wɔwɔ mu ntsi.", ""
"ZEC.2.5", "Na emi, EWURADZE na mese, mara na mebɛyɛ gya fasu mabɔ no ho aprɔw, na mayɛ enyimnyam wɔ ne finimfin.", ""
"ZEC.2.6", "Ao o, ao o, guan fi kwaamu afamu asaase no do, EWURADZE na ɔse: na matserɛw hom mu dɛ sor mframa anan no, EWURADZE na ɔse.", ""
"ZEC.2.7", "Ao o, Zion, guan, ɔwo a enye Babilɔn babaa tse.", ""
"ZEC.2.8", "Na mbrɛ dɔm EWURADZE se nye yi: M'enyimnyam ntsi na masoma wo amanaman a wɔfaa hom afo no nkyɛn: na nyia ɔka hom no, ɔka emi EWURADZE m'enyi kyiresua.", ""
"ZEC.2.9", "Na, hwɛ, mobɔwosow me nsa egu hɔn do, na wɔayɛ afodze ama hɔn a wɔsoom hɔn no: na obiara bohu dɛ dɔm EWURADZE na ɔasoma me.", ""
"ZEC.2.10", "Ao Zion babaa, tow ndwom na dzi ehurusi: na, hwɛ, mereba, na mabɛtsena wo finimfin, EWURADZE na ɔse.", ""
"ZEC.2.11", "Na amanaman pii dze hɔnho bɔbɔ EWURADZE ho wɔ da no mu, na wɔayɛ me man: na mebɛtsena wo mu, na ehu dɛ dɔm EWURADZE na ɔasoma me wo nkyɛn.", ""
"ZEC.2.12", "Na EWURADZE bɛfa Juda edzi do dɛ ne kyɛfa wɔ asaase krɔnkrɔn no do, na ɔada ho asan mu eyi Jerusalɛm.", ""
"ZEC.2.13", "Adasa nyina, hom ntaa dzinn wɔ EWURADZE enyim: na ɔasoɛr wɔ ne tsenabea krɔnkrɔn hɔ.", ""
