"ZEC.4.1", "Na ɔbɔfo a ɔnye me kasae no baa bio, na obenyaan me dɛ nyimpa a woenyan no efi ne nda mu.", ""
"ZEC.4.2", "Na obisaa me dɛ, Ihu ebɛnadze? Na mubuaa dɛ, Muhu kandzeadua a ne nyina yɛ sika, na no ngotoa taa n'etsifi, na ne nkandzea esuon no wowɔ do; ndodobɛn esuon wɔ nkandzea a wɔwɔ n'etsifi no do nkorkor:", ""
"ZEC.4.3", "na ngondua ebien sisi ne nkyɛnmu, kor si ngotoa no n'enyimfa, na kor so si n'abankum.", "#Nyi 11.4"
"ZEC.4.4", "Na mibisaa ɔbɔfo a ɔnye me kasae no, dɛ, Mo wura, iyinom ebɛnadze a?", ""
"ZEC.4.5", "Nna ɔbɔfo a ɔnye me kasae no buae see me dɛ, Aso innyim iyinom n'adzeban? Na mesee dɛ, Mo wura, oho.", ""
"ZEC.4.6", "Nna obuae see me dɛ, Iyi nye EWURADZE n'asɛm a ɔbaa Zerubabel hɔ, dɛ, Ɔnnam w'ahoɔdzen do, ɔnnam wo tum do, mbom ɔnam mo sunsum do, dɔm EWURADZE na ɔse.", "#Ezra 5.2"
"ZEC.4.7", "Ao bepɔw kɛse, woana nye wo? Ebɛdan asaase tɛtɛr wɔ Zerubabel enyim: na ɔdze etsifi bo no bopue aba abɔbɔ do ose dɛ, Adom, adom mbra do.", ""
"ZEC.4.8", "Na EWURADZE n'asɛm baa me nkyɛn bio dɛ,", ""
"ZEC.4.9", "Zerubabel ne nsa na ɔatow fie yi fapem; na ne nsa na obowie so; na ɔwo ehu dɛ dɔm EWURADZE na ɔasoma me wo nkyɛn.", ""
"ZEC.4.10", "Na kaansa wobuu edwuma yi n'ahyɛse kakrabaa yi enyimtsia mpo a, ber a wobohu promo no wɔ Zerubabel ne nsamu no, hɔn enyi bɛgye na wobedzi ehurusi. Nkandzeadua esuon a ihunii no yɛ EWURADZE n'enyiwa; wokyin dzi akɔnaaba wɔ asaase do.", "#Nyi 5.6"
"ZEC.4.11", "Nna mubuae, na mibisaa no dɛ, Ebɛnadze nye ngondua ebien yi a wosisi kandzeadua no n'enyimfa na n'abankum yi?", ""
"ZEC.4.12", "Na mibisaa no bio dɛ, Ebɛn ngondua abaw ebien nye iyinom yi a wɔwɔ sika ano ebien a ohue sika ngo fa mu yi?", ""
"ZEC.4.13", "Na obuaa me see dɛ, Aso innyim iyinom hɔn adzeban? Na mesee dɛ, Mo wura, oho.", ""
"ZEC.4.14", "Na ɔsee dɛ, Iyinom nye nyimpa beenu a wɔasera hɔn ngo a wogyinagyina asaase nyina EWURADZE nkyɛn no.", ""
