"ZEC.5.1", "Nna memaa m'enyi do bio, na muhun nwoma mbobɔwee a ɔnenam wimu.", ""
"ZEC.5.2", "Na obisaa me dɛ, Ihu ebɛnadze? Na mubuaa dɛ, Muhu nwoma mbobɔwee a ɔnenam wimu; ne tsentsen yɛ basafa enum, na ne tɛtɛr yɛ basafa ebien na fa.", ""
"ZEC.5.3", "Nna ɔsee me dɛ, Iyi nye ndom a opue kɔ asaase nyina enyi no: na obiara a owia adze no wɔbɔpo no wɔ afa kor dɛ mbrɛ ɔtse; na obiara a ɔka ntanhun no wɔbɔpo no wɔ afa kor so dɛ mbrɛ ɔtse.", ""
"ZEC.5.4", "Mebɛma oepue akɔ, dɔm EWURADZE na ɔse, na ɔakɛhɛn owifo no fie, na nyia ɔdze me dzin ka ntanhun no fie: na ɔbɛtsena ne fi mu, na ɔahyew ɔno nye no ndua na n'abo.", ""
"ZEC.5.5", "Nna ɔbɔfo a ɔnye me kasae no puei, na ɔsee me dɛ, Afei ma w'enyi do, na hwɛ adzekor a orupue yi.", ""
"ZEC.5.6", "Na mibisaa dɛ, Ebɛnadze a? Na ɔsee me dɛ, Iyi nye efa esusudze a orupue no. Ɔkaa bio so dɛ, Iyi nye hɔn hwɛbea wɔ asaase nyina do:", ""
"ZEC.5.7", "(na hwɛ, wɔmaa sumbui  talent   kor do:) na iyi nye ɔbaa a ɔtse efa esusudze no mu no.", ""
"ZEC.5.8", "Na ɔsee dɛ, Emumuyɛ nye yi; na ɔtoow no kyeen efa esusudze no mu: na ɔtoow sumbui durdur no hin ano.", ""
"ZEC.5.9", "Nna memaa m'enyi do, na muhun mbaa beenu dɛ oepue na mframa wɔ hɔn ntsaban mu; na hɔn ntsaban tse dɛ ɔkompɛtɛ ne ntsaban: na wɔmaa efa esusudze no do wɔ asaase na sor ntamu.", ""
"ZEC.5.10", "Nna mibisaa ɔbɔfo a ɔnye me kasae no dɛ, Iyinom dze efa  efa   esusudze no rokɔ hen?", ""
"ZEC.5.11", "Na ɔsee me dɛ, Wɔdze rokɔ ekesi dan ama no wɔ Sinar asaase do: na sɛ wowie siesie a, wɔdze no besi ne bea no do wɔ hɔ.", ""
