"ZEC.8.1", "Na dɔm EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"ZEC.8.2", "Mbrɛ dɔm EWURADZE se nye yi: Motwe Zion ho nyinkun kɛse, na enyiber kɛse na medze twe no ho nyinkun.", ""
"ZEC.8.3", "Mbrɛ EWURADZE se nye yi: Meresan aba Zion nkyɛn, na mebɛtsena Jerusalɛm mu: na wɔbɛfrɛ Jerusalɛm Nokwar kurow no; na dɔm EWURADZE ne bepɔw no, Bepɔw krɔnkrɔn.", ""
"ZEC.8.4", "Mbrɛ dɔm EWURADZE se nye yi: Nkɔdaa na mberwa bɛda ho atsenatsena Jerusalɛm abrɔn mu, na onyin dodow ntsi, nyimpa biara bekitsa poma wɔ ne nsamu.", ""
"ZEC.8.5", "Na mbanyimbasiaba na nkataasia bɛhyɛ kurow no n’abrɔn no amaama, na woedzi agor wɔ abrɔn no mu.", ""
"ZEC.8.6", "Mbrɛ dɔm EWURADZE se nye yi: Sɛ ɔyɛ ɔman yi ne nkaa no nwanwa wɔ nda no mu a, aso ɔbɛyɛ nwanwa wɔ emi so m’enyi do anaa? Dɔm EWURADZE na ɔse.", ""
"ZEC.8.7", "Mbrɛ dɔm EWURADZE se nye yi: Hwɛ, mebɛgye me man nkwa efi boka asaase no do, na anee asaase no do:", ""
"ZEC.8.8", "na medze hɔn aba, na wɔabɛtsena Jerusalɛm mu; na wɔbɛyɛ me man, na emi so mayɛ hɔn Nyankopɔn, wɔ nokwar na tsenenee mu.", ""
"ZEC.8.9", "Mbrɛ dɔm EWURADZE se nye yi: hom nhyehyɛ hom nsamu dzen, hom a hom tse nsɛm yi wɔ nkɔnhyɛfo anomu wɔ nda yi mu, hɔn a wɔwɔ hɔ da no a wɔtoow dɔm EWURADZE ne fi fapem no, dɛ worisi asɔrdan no.", ""
"ZEC.8.10", "Na ansaana da no reba no, na apaabɔ ho akatua nnyi hɔ mma nyimpa bi, eso apaabɔ nnyi hɔ mma abowa; eso asomdwee biara nnyi hɔ mma nyia opue anaa nyia ɔba mu osian ɔhohiahiafo no ntsi: na memaa nyimpa nyina obiara nye ne nyɛnko dzii esi.", ""
"ZEC.8.11", "Na afei dze mennkɛyɛ dɛ nkan no ama ɔman yi nkaa no, dɔm EWURADZE na ɔse.", ""
"ZEC.8.12", "Na asomdwee aba bɛba hɔ; wenyindua bɔsow n’aba, na asaase ama no ndɔbaa, na sorsor bɔtɔ no bɔsu; na mebɛma ɔman yi ne nkaa no enya ndzɛmba yinom nyina edzi.", ""
"ZEC.8.13", "Na ɔbɛba dɛ, dɛ mbrɛ hom yɛɛ ndom wɔ amanaman mu no, ao Juda fifo na Israel fifo, dɛmara na mebɛgye hom nkwa, na hom ayɛ nhyira: mma hom nnsuro, na mbom hom nhyehyɛ hom nsamu dzen.", ""
"ZEC.8.14", "Na mbrɛ dɔm EWURADZE se nye yi: Dɛ mbrɛ modween dɛ mebɛyɛ hom bɔn wɔ ber a hom egyanom yii me ebufuw no na mannsesa m’adwen no;", ""
"ZEC.8.15", "dɛmara so bio na madwen nda yi mu dɛ mebɛyɛ Jerusalɛm na Juda fi yie: mma hom nnsuro.", ""
"ZEC.8.16", "Iyinom nye ndzɛmba a hom nyɛ; Hom mu nyimpa biara nkasa nokwar nkyerɛ ne nyɛnko; hom mbua nokwar na asomdwee atsɛn wɔ hom mbobokɛse mu:", "#Efe 4.25"
"ZEC.8.17", "na mma hom mu obiara nndwen n’akoma mu bɔn wɔ ne nyɛnko ho; na mma hom mmpɛ ator ntanka: na iyinom nyina yɛ ndzɛmba a mikyir, EWURADZE na ɔse.", ""
"ZEC.8.18", "Na dɔm EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"ZEC.8.19", "Mbrɛ dɔm EWURADZE se nye yi: Bosoom a otsia anan, enum esuon na du no mu akɔnkyen no, bɛyɛ enyigye na ahosɛpɛw, na ahotɔ afahyɛ ama Juda fi; dɛm ntsi hom ndɔ nokwar na asomdwee.", ""
"ZEC.8.20", "Mbrɛ dɔm EWURADZE se nye yi: Ɔbɛba no dɛmara, dɛ aman, na nkurow pii mu atsefo bɛba:", ""
"ZEC.8.21", "na kurow kor mu atsefo bɔkɔ kor so mu akɛse dɛ, Hom mma yɛnkɔ ntsɛmara nkɔtotɔ nserɛ EWURADZE n’enyimpa, na yɛnhwehwɛ dɔm EWURADZE n’ekyir kwan: na mara so morokɔ.", ""
"ZEC.8.22", "Nyew, aman pii na amanaman a wɔyɛ dzen bɛba abɔhwehwɛ dɔm EWURADZE n’ekyir kwan wɔ Jerusalɛm, na wɔatotɔ aserɛ EWURADZE n’enyimpa.", ""
"ZEC.8.23", "Mbrɛ dɔm EWURADZE se nye yi: Nda no mu na ɔbɛba dɛ mbanyin du a wofi amanaman kasaa nyina mu bosusuo Jewnyi baako n’atar ano, dɛ, Yɛnye hom bɔkɔ, osiandɛ yɛatse dɛ Nyankopɔn nye hom wɔ hɔ.", ""
