"ZEC.11.1", "Ao Lebanon, buebue wo mbobow, ma gya nhyew wo odum ndua.", ""
"ZEC.11.2", "Ao kupresidua, twa ewuo, na odum ahwe ase, osiandɛ enyimnyamfo no asɛɛ: ao hom Basan nsudur, hom ntwa ewuo, na kwaa dzendzen no aba famu.", ""
"ZEC.11.3", "Nguanhwɛfo ewuotwa ne gyegyee nye no! Na hɔn enyimnyam asɛɛ: ngyatafɔr pɔw ne gyegyee nye no osiandɛ Jordan ahohyehyɛ asɛɛ.", ""
"ZEC.11.4", "Mbrɛ EWURADZE me Nyankopɔn se nye yi: Hom nnyɛn okum nguankuw no a", ""
"ZEC.11.5", "hɔn a wɔtɔ hɔn no, woku hɔn, na wonndzi so; na hɔn a wɔtɔn hɔn no ka dɛ, Nhyira nka EWURADZE, na menya moho: na hɔnankasa hɔn ahwɛfo no nnhu hɔn mbɔbɔr.", ""
"ZEC.11.6", "Na merennda ho nnya asaase no do atsefo no ho tsimbɔbɔr bio, EWURADZE na ɔse: na, hwɛ, mibeyi obiara ahyɛ ne nyɛnko nsa, na ne hen nsa: na wɔbɔbobɔ asaase no, mirinnyi hɔn mmfi hɔn nsamu.", ""
"ZEC.11.7", "Nna menyɛɛn okum nguankuw no, nguankuw no mu dza wɔyɛ mbɔbɔr no. Na mefaa mpoma ebien; mefrɛɛ kor Enyimpa, na mefrɛɛ kor so Nkabɔmu; na menyɛɛn nguankuw no.", ""
"ZEC.11.8", "Na mutwaa nguanhwɛfo baasa no kyenee wɔ bosoom kor mu; osiandɛ hɔn ho foon me kra, na mo so mo ho foon hɔn kra.", ""
"ZEC.11.9", "Nna mesee dɛ, Merennyɛn hom: dza oruwu no, ma onwu; na dza wotwa no kyen no, wontwa no nkyen; na hɔn a aka no, obiara ndzi ne nyɛnko ne nam.", ""
"ZEC.11.10", "Na mefaa mo poma Enyimpa no na mutwaa mu, dɛ moroto m'ahyɛmu a menye aman nyina edzi no.", ""
"ZEC.11.11", "Na wɔtoo no da no ara: na nguankuw no mu abɔbɔfo a wɔhwɛɛ me no wohun dɛ ɔyɛ EWURADZE asɛm ampa.", ""
"ZEC.11.12", "Na mesee hɔn dɛ, Sɛ oye wɔ hom adwen mu a, hom mma me m'apaabɔdze; na sɛ ɔnntse dɛm a, hom mma ɔnka. Nna wokeer m'akatua ndwetɛbona eduasa maa me.", "#Mat 26.15 #Mat 27.9-10"
"ZEC.11.13", "Na EWURADZE see me dɛ, Tow gu adzekorabea, enyimnyam bo a woetwa no me tsir no. Na mefaa ndwetɛbona eduasa no, na motowee guu adzekorabea, wɔ EWURADZE fie.", ""
"ZEC.11.14", "Na mutwaa mo poma kor no, Nkabɔmu no mu, ama maasɛɛ Juda na Israel ntamu enuayɛ no.", ""
"ZEC.11.15", "Na EWURADZE see me dɛ, Nkyii so bio fa guanhwɛfo kwasea no n'edwindadze no.", ""
"ZEC.11.16", "Na, hwɛ, mebɛma guanhwɛfo bi do wɔ asaase do a ɔrennsera hɔn a woetwa hɔn akyen no, eso ɔronnhwehwɛ hɔn a wɔapetse no, na ɔrennsa dza ebubu no yarba; eso ɔrennyɛn dza ɔtse apɔw no, na mbom obedzi dza adɔ angoa ne nam, na ɔapaapaa no n'anansa mu esinesin.", ""
"ZEC.11.17", "Oguanhwɛfo gyangyan a ɔdan nguan no gya no, ondue! Afona bɛba n'abasa do, na n'enyiwa nyimfa do: ne basa bɛkyenkyen, na n'enyiwa nyimfa efura kusuww.", ""
