"ZEC.14.1", "Hwɛ, EWURADZE ne da reba a wɔbɛkyɛ w'asadze mu wɔ wo finimfin.", ""
"ZEC.14.2", "Na mobɔboa amanaman nyina ano aba Jerusalɛm do nye no abɔko; na wɔbɛfa kurow no, na wɔafom efiefi no, na wɔatoto mbaa no mbɔndar: na kurow no fa botu akɔ ndɔmmum mu, na ɔman no nkaase no dze worunntwitwa hɔn mmfi kurow no mu.", ""
"ZEC.14.3", "Nna EWURADZE bopue, na ɔnye amanaman no akɔko, dɛ mbrɛ ɔkoe wɔ nkoda mu no.", ""
"ZEC.14.4", "Na da no, n'anan besisi Ngo bepɔw no a ɔwɔ Jerusalɛm tsentsendo wɔ boka afamu no do, na Ngo bepɔw no bɛpaa ebien wɔ ne finimfin fi boka afamu dze ekesi anee afamu, na ɔayɛ bɔnsa kɛsenara; na bepɔw no ne fa bɔtwe akɔ kwaamu afamu, na ne fa so atwe akɔ pomu afamu.", ""
"ZEC.14.5", "Na hom boguanguan afa me mbepɔw no no bɔnsaa no mu; na me bepɔw no no bɔnsaa no bodu Azel: ɛhɛɛ, hom boguanguan, dɛ mbrɛ hom guanguanee wɔ asaasewosow enyim wɔ Judahen Uzia nda mu no: na EWURADZE me Nyankopɔn bɛba, na akrɔnkrɔmfo nyina bɛka wo ho.", ""
"ZEC.14.6", "Na da no, ɔbɛba dɛ awɔw yayaayaw biara nnkɛba:", ""
"ZEC.14.7", "na adzekyee so bɛyɛ kor a EWURADZE na onyim; ɔnnyɛ adzekyee, na ɔnnyɛ adzesaa so: na ɔbɛba dɛ ewimbir no na kan bɛba.", ""
"ZEC.14.8", "Na da no, ɔbɛba dɛ nkwa nsu befi Jerusalɛm apem; no mu fa akɔ boka afamu po no mu, na no mu fa so akɔ anee afamu po no mu: ɔpɛber na awɔwber mu na ɔbɛba.", "#Eze 47.1; Joh 7.38; Nyi 22.1"
"ZEC.14.9", "Na EWURADZE bedzi hen wɔ asaase no nyina do: da no mu na EWURADZE bɛda noho edzi dɛ EWURADZE kor no ara, na ne dzin so yɛ soronko.", ""
"ZEC.14.10", "Asaase no nyina bɛdan dɛ Araba, efi Geba ekesi Rimmon wɔ Jerusalɛm pomu afamu; na ɔbɔkrɔn, na ɔatsena ne tsenabea, dze efi Benjamin abobokɛse no ano dze ekesi odzi kan no ho, dze ekesi kutuwdo abobokɛse no ano, na efi Hananel abantsentsen no ho dze ekesi ɔhen ne nsatwer no ho.", ""
"ZEC.14.11", "Na nyimpa bɛtsena mu, na ndom biara remmba hɔ bio; na mbom Jerusalɛm bɛtsena dwudwoodwo.", "#Nyi 22.3"
"ZEC.14.12", "Na ɔyardɔm a EWURADZE dze bɔbɔ amanaman a woetu Jerusalɛm do sa no nyina nye iyi: ber a wogyinagyina hɔn anan do no, hɔn honam bɔprɔw, na hɔn enyiwa so aprɔw wɔ hɔn etu mu, na hɔn tɛkyerɛma aprɔw wɔ hɔn anomu.", ""
"ZEC.14.13", "Na ɔbɛba wɔ da no mu dɛ weɔɔweɔɔyɛ kɛse fi EWURADZE hɔ bɛba hɔn mu; na hɔn mu obiara bosuo ne nyɛnko ne nsamu, na ne nsa ama do etsia ne nyɛnko nsa.", ""
"ZEC.14.14", "Na Juda so nye Jerusalɛm bɔko; na wɔbɔboaboa amanaman a etwa ehyia nyina hɔn ahonya ano, sika, na dwetɛ na ntar pii.", ""
"ZEC.14.15", "Na ɔpɔnkɔ, asoasopɔnkɔ, efupɔnkɔ, na asoaso, na mbowa a wɔwɔ nsera mu no hɔn yardɔm bɛyɛ dɛ yardɔm yi ara.", ""
"ZEC.14.16", "Na ɔbɛba dɛ, amanaman a wotuu Jerusalɛm do sa no nyinara mu dza aka no nyinara bɔfow aba, afrenhyia afrenhyia abɔkotow asɔr Ɔhen, dɔm EWURADZE no, na wɔahyɛ ntamadan afahyɛ no.", "#Lev 23.39-43"
"ZEC.14.17", "Na ɔbɛba dɛ asaase do mbusua nyinara mu hɔn a wɔnnkɔfow aba Jerusalɛm abɔkotow asɔr Ɔhen, dɔm EWURADZE no, nsu ronntɔ hɔn do.", ""
"ZEC.14.18", "Na sɛ Egypt ebusua ammfow annkɔ ammba a, ɔronntɔ hɔn do; yardɔm a EWURADZE dze bɔbɔ amanaman a wɔnnkɔfow aba abɛhyɛ ntamadan afahyɛ no ɔbɛba hɔ.", ""
"ZEC.14.19", "Iyi bɛyɛ Egypt na amanaman a wɔnnkɔfow aba abɛhyɛ ntamadan afahyɛ no nyinara hɔn ntsea.", ""
"ZEC.14.20", "Da no mu no, wɔbɛkyerɛw no wɔ mpɔnkɔ ndɔndɔmba do dɛ, KRƆNKRƆN MA EWURADZE na EWURADZE fie nkutu bɛyɛ dɛ afɔrmbukyia enyim ndweraa.", ""
"ZEC.14.21", "Ɛhɛɛ, nkutu a wɔwɔ Jerusalɛm na Juda mu nyina bɛyɛ krɔnkrɔn ama dɔm EWURADZE: na hɔn a wɔbɔ okum afɔr nyina bɛba abɛfa mu bi akɔnoa adze wɔ mu: na da no mu no Keenannyi biara renntsena dɔm EWURADZE fie bio.", ""
