"ZEP.2.1", "Hom nka hom ho mboa ano, ɛhɛɛ, hom mboa hom ho ano, ao ɔman a hom nnyi enyito;", ""
"ZEP.2.2", "ansaana mbusu da no aba, ansaana da no asen dɛ ntsɛw, ansaana EWURADZE n’ebufuw dzendzen no aba hom do, nyew, ansaana EWURADZE n’ebufuw da no aba hom do.", ""
"ZEP.2.3", "Hom nhwehwɛ Ewuradze, hom asaase do ahobrɛadzefo nyina a hom ayɛ n’atsɛmbudze; hom nhwehwɛ tsenenee, hom nhwehwɛ ɔdwe: bi a wɔdze hom bosuma wɔ EWURADZE n’ebufuw da no mu.", ""
"ZEP.2.4", "Na wɔbɛdan Gaza egya, na Ashkelon ayɛ ekurofo: wobeyi Ashdod edzi ewiaber ketee, na woetutu Ekron ase.", "#Isa 14.29-31; Jer 47.1-7; Eze 25.15-17; Joel 3.4-8; Amos 1.6-8; Zek 9.5-7"
"ZEP.2.5", "Ndom nka nsuanofo, Keretfo man no! Ao Keenan, Filistiafo asaase, EWURADZE n’asɛm tsia hom: mebɛsɛɛ wo ara ma ɔtsefo biara nnkɛka.", ""
"ZEP.2.6", "Na nsuano bɛyɛ mbowa dzidzibea a nguanhwɛfo nsuaba na nguankuw nguamban wowɔ mu.", ""
"ZEP.2.7", "Na nsuano no bɛyɛ Juda fi nkaa no dze; wɔbɛnyɛn hɔn nguankuw no wɔ do: wobobutubutuw Ashkelon efi mu ewimbir; na EWURADZE hɔn Nyankopɔn bɛsera hɔn, na ɔdze hɔn ndɔmmumkɔ no asan aba.", ""
"ZEP.2.8", "Matse Moab nsopa, na Ammonmba yeyaw a wɔdze asopa me man, na wɔamema hɔnho do ahyɛ hɔn he do.", "#Isa 15.1—16.14; 25.10-12; Jer 48.1—49.6; Eze 21.28-32; 25.1-11; Amos 1.13-15"
"ZEP.2.9", "Dɛm ntsi metse ase yi, dɔm EWURADZE Israel Nyankopɔn no, na ɔse, Ampaara Moab bɛyɛ dɛ Sodom, na Ammonmba ayɛ dɛ Gomora nsason sisibea, na nkyen mona, na daa amamfoyɛ: mo nkorɔfo nkaase bɛfa hɔn afo, na me man nkaa so edzi hɔn do.", "#Gye 19.24"
"ZEP.2.10", "Hɔn nkontompɔ ntsi na wobenya iyi, osiandɛ wɔasopa dɔm EWURADZE ne man na wɔamema hɔnho do etsia hɔn.", ""
"ZEP.2.11", "EWURADZE no ho bɛyɛ hu ama hɔn: osiandɛ ɔbɛma asaase do abosom nyina asa; na adasa bɔsom ɔno, obiara fi ne tsenabea, amanaman nsupruw nyina mpo.", ""
"ZEP.2.12", "Hom Etiopiafo so, hom bɔtotɔr m’afona ano.", "#Isa 18.1-7"
"ZEP.2.13", "Na ɔbɛtsen ne nsa wɔ kwaamu afamu, na ɔasɛɛ Asiria; na ɔbɛma Ninive ayɛ amamfo, na ɔawow kɛsɛɛ dɛ sar do.", "#Isa 10.5-34; 14.24-27; Nah 1.1—3.19"
"ZEP.2.14", "Na mbowakuw bobutubutuw mu, amanaman mbowadoma nyinara: nantwinoma na kɔtɔkɔ bɛtsena n’edum etsifi: hɔn ndze bɔtow ndwom wɔ ntokura mu; amamfoyɛ bɛba hɔn mbobow ano: na ɔama kyindur ndua edwin ho ada hɔ.", ""
"ZEP.2.15", "Iyi nye kurow a odzii ehurusi a ɔtsenaa dɛ ɔmmfa hwee nnyɛ hwee no, na ɔsee wɔ n’akoma mu dɛ, Emi mara a, na obi nnyi hɔ ka mo ho no. Hwɛ mbrɛ oesi adan amamfo, mbowa ebutuwii a! Obiara a otwa mu wɔ hɔ no, ɔbɛsesar, na ɔawosow ne tsir.", ""
