"ZEP.3.1", "Due, etuatsew kurow a no ho egu fi, nhyɛdo kurow no!", ""
"ZEP.3.2", "Oenntsie EWURADZE ndze; ɔanngye ntsea; ɔammfa no werɛ annhyɛ EWURADZE mu; na ɔanntwe ammbɛn ne Nyankopɔn.", ""
"ZEP.3.3", "N'asafohemfo yɛ ngyata a wɔpɔw wɔ no mu; n'atsɛmbuafo yɛ ewimbir mpataku; wonngya biribi ma ɔnnka mma adzekyee.", ""
"ZEP.3.4", "No nkɔnhyɛfo yɛ ahopɔwfo, ndabrabafo ara nko: n'asɔfoe egu krɔnkrɔn bea no ho fi na, woedzi mbra no emim koraa.", ""
"ZEP.3.5", "EWURADZE a ɔwɔ no mu no ɔtsen; ɔrennyɛ emumuyɛ; daa n'atsɛmbu da edzi pefee, onngyaa da; naaso nyia ɔnntsen dze, onnyim enyito.", ""
"ZEP.3.6", "Metwitwa amanaman egu, hɔn akoban ayeyɛ afoafo; mama hɔn abrɔn atotɔ pan, ma obi nntwa mu wɔ do: wɔasɛɛ hɔn nkurow, ma nyimpa bi nnyi hɔ, ɔtsefo bi nnyi do.", ""
"ZEP.3.7", "Mekaa dɛ, suro mara, gye ntsea; na worunntwa wo tsenabea nnkyen, dɛ mbrɛ dza mahyɛ wɔ wo ho nyina tse: naaso wɔsoɛr ahema na wɔsɛɛ wo ndzeyɛɛ nyina.", ""
"ZEP.3.8", "Dɛm ntsi hom ntweɔn me, EWURADZE na ɔse, nkodu da a mobɔsoɛr aba afonam do: na mo sua nye dɛ mibehyia amanaman ano, na mehyia ahenman, dɛ mubohue m'ebufuw egu hɔn do, m'ebufuhyew dzendzen nyina; na me nyinkun gya no bɛmen asaase no nyina.", ""
"ZEP.3.9", "Ɔno na mebɛma aman no ano krɔnkrɔn, ama hɔn nyinara wɔaabɔ EWURADZE ne dzin, dɛ wɔdze koryɛ bɔsom no.", ""
"ZEP.3.10", "Etiopia esutsen egya na mo nkorɔfo a wɔapetse no fi dze ayɛyɛdze bɛba.", ""
"ZEP.3.11", "Da no mu na mibeyi w'enyimguase ndzeyɛɛ a edze ato me mbra no nyina efi hɔ: na ber no mu no na mibeyi hɔn a wɔdze wo hyehyɛ hɔnho no efi wo mu, na ennkɛda ho etuw woho wɔ me bepɔw krɔnkrɔn no do.", ""
"ZEP.3.12", "Na mibegya amandzehufo na abɔbɔfo wɔ wo mu, na wɔdze hɔn werɛ bɛhyɛ EWURADZE ne dzin mu.", ""
"ZEP.3.13", "Na Israel nkaa nnkɛyɛ emumuyɛ, eso worinndzi atorsɛm; eso worunnhu ndaadaa gyirama wɔ hɔn anomu: na wɔbɛnyɛn hɔnho na woebutubutuw hɔ, na obi rinnyi hɔn hu.", "#Nyi 14.5"
"ZEP.3.14", "Ao Zion babaa, tow ndwom; ao Israel, bɔ ose; ao Jerusalɛm babaa, ma w'enyi ngye na fa w'akoma nyina dzi ehurusi.", ""
"ZEP.3.15", "EWURADZE eyi w'atsɛmbu kɔ, ɔatow w'atamfo akyen: Israelhen EWURADZE no, wɔ wo finimfin: erennda ho nnsuro mbusu bio.", ""
"ZEP.3.16", "Da no mu no wɔbɛse Jerusalɛm dɛ, Mma nnsuro: ao Zion, mma w'abaw mu mmbu.", ""
"ZEP.3.17", "EWURADZE wo Nyankopɔn wɔ wo finimfin, ɔkatakyi a ɔbɛgye nkwa no a: ɔdze enyigye bedzi wo ho ehurusi, ɔdze dɔ bɛyɛ wo fofor, ɔdze ndwom bɔbɔ wo ho ose.", ""
"ZEP.3.18", "Mobɔboaboa hom ano na na hom asan ebedzi afahyɛ a hom dzii ho awerɛhow no bio, amma hom anntseetsee bio.", ""
"ZEP.3.19", "Hwɛ, ber no menye hɔn a wohiahia wo ho no nyina bedzi: na mebɛgye osiifo no nkwa, na matase hɔn a wɔapam hɔn no; na mebɛhyɛ hɔn enyimnyam na mama hɔn dzin, hɔn a hɔn enyimguase aba asaase nyina do no a.", ""
"ZEP.3.20", "Ber no mu na medze hom bɛba, na ber no mu na mobɔboa hom ano: na mebɛma hom enya dzin na enyimnyam wɔ asaase do aman nyinara mu, ber a medze hom ndɔmmumfo bɛsan aba bio no, na hom dze hom enyiwa bohu. EWURADZE na ɔse.", ""
